pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Jeff Samardzija,453568,"In play, out(s)",91.4,44.11
FF,Jeff Samardzija,453568,Ball,null,null
FF,Jeff Samardzija,518614,Swinging Strike,null,null
SL,Jeff Samardzija,518614,Foul,null,null
SL,Jeff Samardzija,518614,Swinging Strike,null,null
FF,Jeff Samardzija,518614,Called Strike,null,null
FF,Jeff Samardzija,518614,Ball,null,null
FF,Jeff Samardzija,471865,Called Strike,null,null
SL,Jeff Samardzija,471865,Foul,null,null
FF,Jeff Samardzija,471865,Foul,null,null
FF,Jeff Samardzija,471865,Ball,null,null
FF,Jeff Samardzija,471865,Called Strike,null,null
FS,Jeff Samardzija,471865,Ball,null,null
FS,Jeff Samardzija,471865,Swinging Strike,null,null
SL,Jeff Samardzija,571448,Ball,null,null
FF,Jeff Samardzija,571448,Ball,null,null
FF,Jeff Samardzija,571448,Ball,null,null
FF,Jeff Samardzija,571448,Ball,null,null
FS,Jeff Samardzija,621311,Swinging Strike,null,null
FT,Jeff Samardzija,621311,Ball,null,null
FT,Jeff Samardzija,621311,Swinging Strike,null,null
FT,Jeff Samardzija,621311,"In play, out(s)",96.5,31.05
FT,Jeff Samardzija,467827,Called Strike,null,null
FF,Jeff Samardzija,467827,Foul,null,null
SL,Jeff Samardzija,467827,Ball In Dirt,null,null
FS,Jeff Samardzija,467827,Swinging Strike,null,null
FS,Jeff Samardzija,467827,Ball,null,null
FS,Jeff Samardzija,542436,Foul,null,null
FF,Jeff Samardzija,542436,Called Strike,null,null
FT,Jeff Samardzija,542436,Foul Tip,null,null
FT,Jeff Samardzija,547172,"In play, no out",72.7,26.53
FT,Jeff Samardzija,547172,Ball,null,null
SL,Jeff Samardzija,543022,Foul (Runner Going),null,null
SL,Jeff Samardzija,543022,Foul (Runner Going),null,null
FT,Jeff Samardzija,543022,Foul Bunt,null,null
SL,Jeff Samardzija,543022,Ball,null,null
FF,Jeff Samardzija,453568,Foul,null,null
FS,Jeff Samardzija,453568,Foul,null,null
FF,Jeff Samardzija,453568,Ball,null,null
FS,Jeff Samardzija,453568,Swinging Strike,null,null
FF,Jeff Samardzija,453568,Called Strike,null,null
FF,Jeff Samardzija,453568,Foul,null,null
SL,Jeff Samardzija,453568,Ball,null,null
SL,Jeff Samardzija,518614,Foul,null,null
FT,Jeff Samardzija,518614,"In play, out(s)",87.9,38.92
FF,Jeff Samardzija,518614,Ball,null,null
FS,Jeff Samardzija,518614,Ball,null,null
FF,Jeff Samardzija,471865,Foul,null,null
FT,Jeff Samardzija,471865,"In play, no out",97.5,29.03
FS,Jeff Samardzija,471865,Swinging Strike,null,null
FT,Jeff Samardzija,571448,"In play, run(s)",68.9,19.99
CU,Jeff Samardzija,571448,Ball,null,null
CU,Jeff Samardzija,621311,Called Strike,null,null
FS,Jeff Samardzija,621311,Foul,null,null
FT,Jeff Samardzija,621311,Called Strike,null,null
FT,Jeff Samardzija,621311,Ball,null,null
FF,Jeff Samardzija,542436,Ball,null,null
FS,Jeff Samardzija,542436,Swinging Strike,null,null
FS,Jeff Samardzija,542436,Called Strike,null,null
FF,Jeff Samardzija,542436,Foul,null,null
FS,Jeff Samardzija,547172,Called Strike,null,null
CU,Jeff Samardzija,547172,Ball,null,null
CU,Jeff Samardzija,547172,Called Strike,null,null
FS,Jeff Samardzija,547172,Swinging Strike,null,null
SL,Jeff Samardzija,543022,Ball,null,null
FF,Jeff Samardzija,543022,Called Strike,null,null
FF,Jeff Samardzija,543022,Called Strike,null,null
FF,Jeff Samardzija,543022,Ball,null,null
FT,Jeff Samardzija,543022,Ball,null,null
FF,Jeff Samardzija,543022,Called Strike,null,null
CU,Jeff Samardzija,453568,Swinging Strike,null,null
FT,Jeff Samardzija,453568,"In play, no out",88.7,15.43
CU,Jeff Samardzija,453568,Ball,null,null
FS,Jeff Samardzija,453568,Swinging Strike,null,null
FF,Jeff Samardzija,518614,Called Strike,null,null
FS,Jeff Samardzija,518614,Swinging Strike,null,null
FF,Jeff Samardzija,518614,Foul Tip,null,null
FS,Jeff Samardzija,518614,Ball,null,null
FF,Jeff Samardzija,471865,Ball,null,null
FF,Jeff Samardzija,471865,Foul (Runner Going),null,null
FS,Jeff Samardzija,471865,Ball,null,null
FF,Jeff Samardzija,471865,"In play, no out",99.1,-14.08
FF,Jeff Samardzija,471865,Called Strike,null,null
FS,Jeff Samardzija,471865,Ball,null,null
FS,Jeff Samardzija,621311,Foul Tip,null,null
FF,Jeff Samardzija,621311,Ball,null,null
FS,Jeff Samardzija,621311,"In play, no out",97.6,21.44
FS,Jeff Samardzija,621311,Foul,null,null
FS,Jeff Samardzija,621311,Ball,null,null
FF,Jeff Samardzija,467827,"In play, run(s)",103.2,2.9
FT,Jeff Samardzija,467827,"In play, out(s)",69.7,-25.58
CU,Jeff Samardzija,467827,Foul,null,null
CU,Jeff Samardzija,571448,"In play, out(s)",95.7,-8.54
FF,Jeff Samardzija,572114,"In play, out(s)",null,null
FF,Jeff Samardzija,572114,Called Strike,null,null
FF,Jeff Samardzija,592669,Ball,null,null
SL,Jeff Samardzija,592669,"In play, no out",104.2,0.57
FF,Jeff Samardzija,592669,Foul,null,null
SL,Jeff Samardzija,592669,Swinging Strike,null,null
