pitch_type,player_name,batter,description,hit_speed,hit_angle
FS,Josh Smoker,596748,"In play, no out",84.5,15.16
FF,Josh Smoker,596748,Foul,null,null
SL,Josh Smoker,519237,Ball,null,null
FF,Josh Smoker,519237,Foul,null,null
SL,Josh Smoker,519237,Ball,null,null
SL,Josh Smoker,519237,Swinging Strike,null,null
FF,Josh Smoker,519237,Foul Tip,null,null
FF,Josh Smoker,429667,"In play, out(s)",77.1,-19.3
FF,Josh Smoker,429667,Called Strike,null,null
SL,Josh Smoker,596451,Swinging Strike (Blocked),null,null
SL,Josh Smoker,596451,Missed Bunt,null,null
SL,Josh Smoker,596451,Foul Bunt,null,null
FF,Josh Smoker,546318,"In play, out(s)",86.7,49.09
FF,Josh Smoker,546318,Ball,null,null
FS,Josh Smoker,546318,Ball,null,null
FF,Josh Smoker,546318,Foul,null,null
FF,Josh Smoker,546318,Ball,null,null
SL,Josh Smoker,514917,"In play, no out",null,null
SL,Josh Smoker,429667,Called Strike,null,null
FF,Josh Smoker,429667,Foul,null,null
SL,Josh Smoker,429667,Foul,null,null
SL,Josh Smoker,429667,Ball,null,null
FF,Josh Smoker,429667,"In play, out(s)",88,31.94
FF,Josh Smoker,519237,Called Strike,null,null
FF,Josh Smoker,519237,Swinging Strike,null,null
FF,Josh Smoker,519237,Ball,null,null
SL,Josh Smoker,519237,Ball,null,null
SL,Josh Smoker,519237,Ball,null,null
FF,Josh Smoker,519237,Foul,null,null
SL,Josh Smoker,519237,Foul,null,null
FF,Josh Smoker,519237,Foul,null,null
SL,Josh Smoker,519237,Swinging Strike (Blocked),null,null
FF,Josh Smoker,520471,Foul,null,null
FF,Josh Smoker,520471,Called Strike,null,null
FF,Josh Smoker,520471,Foul,null,null
SL,Josh Smoker,520471,Swinging Strike,null,null
FF,Josh Smoker,605125,Called Strike,null,null
FF,Josh Smoker,605125,Foul,null,null
FF,Josh Smoker,605125,Ball,null,null
SL,Josh Smoker,605125,Ball,null,null
SL,Josh Smoker,605125,Ball,null,null
FF,Josh Smoker,605125,Foul,null,null
FF,Josh Smoker,605125,Ball,null,null
FF,Josh Smoker,573131,Called Strike,null,null
FF,Josh Smoker,573131,Swinging Strike,null,null
FF,Josh Smoker,573131,Ball,null,null
FF,Josh Smoker,573131,Foul,null,null
FF,Josh Smoker,573131,Ball,null,null
SL,Josh Smoker,573131,Ball In Dirt,null,null
FF,Josh Smoker,573131,"In play, run(s)",109.6,21.03
FF,Josh Smoker,518692,"In play, no out",67.8,24.09
FF,Josh Smoker,455976,Called Strike,null,null
FF,Josh Smoker,455976,Foul,null,null
FF,Josh Smoker,455976,Ball,null,null
SL,Josh Smoker,455976,Called Strike,null,null
FF,Josh Smoker,455976,Ball,null,null
FF,Josh Smoker,455976,Ball,null,null
FF,Josh Smoker,455976,Ball,null,null
FF,Josh Smoker,435559,Called Strike,null,null
SL,Josh Smoker,435559,Called Strike,null,null
FF,Josh Smoker,435559,Swinging Strike,null,null
FF,Josh Smoker,502582,Called Strike,null,null
SL,Josh Smoker,502582,Called Strike,null,null
FF,Josh Smoker,502582,Foul,null,null
FF,Josh Smoker,502582,Foul,null,null
SL,Josh Smoker,502582,Swinging Strike (Blocked),null,null
FF,Josh Smoker,572821,Foul,null,null
FS,Josh Smoker,572821,Ball,null,null
FS,Josh Smoker,572821,Foul,null,null
FF,Josh Smoker,572821,Ball,null,null
SL,Josh Smoker,572821,Ball,null,null
SL,Josh Smoker,572821,Foul,null,null
FF,Josh Smoker,572821,"In play, out(s)",79.9,83.78
FF,Josh Smoker,592696,Swinging Strike,null,null
SL,Josh Smoker,592696,Called Strike,null,null
SL,Josh Smoker,592696,Called Strike,null,null
FF,Josh Smoker,621439,Ball,null,null
FF,Josh Smoker,621439,Swinging Strike,null,null
FF,Josh Smoker,621439,Swinging Strike,null,null
FF,Josh Smoker,621439,Ball,null,null
SL,Josh Smoker,621439,Foul,null,null
SL,Josh Smoker,518542,Called Strike,null,null
FF,Josh Smoker,518542,Ball,null,null
FF,Josh Smoker,518542,"In play, no out",103.6,7.7
FF,Josh Smoker,429722,Foul,null,null
FF,Josh Smoker,429722,Swinging Strike,null,null
FF,Josh Smoker,429722,Swinging Strike,null,null
FF,Josh Smoker,429722,Swinging Strike,null,null
IN,Josh Smoker,502517,Intent Ball,null,null
IN,Josh Smoker,502517,Intent Ball,null,null
null,Josh Smoker,502517,Intent Ball,null,null
IN,Josh Smoker,502517,Intent Ball,null,null
SL,Josh Smoker,547180,Ball,null,null
FF,Josh Smoker,547180,Ball,null,null
SL,Josh Smoker,547180,Called Strike,null,null
SL,Josh Smoker,547180,Foul,null,null
FF,Josh Smoker,547180,Called Strike,null,null
SL,Josh Smoker,542255,Ball In Dirt,null,null
FF,Josh Smoker,542255,"In play, out(s)",81.3,56.73
SL,Josh Smoker,542255,Called Strike,null,null
FF,Josh Smoker,611177,Ball,null,null
FF,Josh Smoker,611177,"In play, run(s)",101.3,0.56
SL,Josh Smoker,611177,Called Strike,null,null
FF,Josh Smoker,150229,Called Strike,null,null
FF,Josh Smoker,150229,Swinging Strike,null,null
FF,Josh Smoker,150229,Foul Tip,null,null
SL,Josh Smoker,150229,Ball In Dirt,null,null
FF,Josh Smoker,150229,Foul (Runner Going),null,null
FF,Josh Smoker,542255,"In play, out(s)",73.6,-17.92
FF,Josh Smoker,542255,Ball,null,null
FS,Josh Smoker,408252,Ball,null,null
FF,Josh Smoker,408252,Ball,null,null
FF,Josh Smoker,408252,"In play, out(s)",null,null
FF,Josh Smoker,408252,Ball,null,null
FF,Josh Smoker,408252,Foul,null,null
FF,Josh Smoker,408252,Foul,null,null
FF,Josh Smoker,474443,Foul,null,null
SL,Josh Smoker,474443,Ball,null,null
SL,Josh Smoker,474443,Foul (Runner Going),null,null
FF,Josh Smoker,474443,Foul,null,null
SL,Josh Smoker,474443,Swinging Strike (Blocked),null,null
FS,Josh Smoker,571466,Foul,null,null
FF,Josh Smoker,571466,Swinging Strike,null,null
FF,Josh Smoker,571466,Ball,null,null
FS,Josh Smoker,571466,Foul,null,null
FF,Josh Smoker,594988,"In play, no out",105.5,7.56
FF,Josh Smoker,594988,Foul,null,null
FF,Josh Smoker,502517,Called Strike,null,null
FF,Josh Smoker,502517,"In play, out(s)",null,null
FF,Josh Smoker,547180,Ball,null,null
SL,Josh Smoker,547180,Swinging Strike (Blocked),null,null
FF,Josh Smoker,547180,Foul,null,null
FF,Josh Smoker,547180,Foul Tip,null,null
FF,Josh Smoker,588751,Foul,null,null
FF,Josh Smoker,588751,Swinging Strike,null,null
FF,Josh Smoker,588751,Ball,null,null
FF,Josh Smoker,588751,Ball,null,null
FF,Josh Smoker,588751,Foul,null,null
FF,Josh Smoker,570632,Ball,null,null
SL,Josh Smoker,570632,Called Strike,null,null
FF,Josh Smoker,570632,Swinging Strike,null,null
FF,Josh Smoker,570632,Swinging Strike,null,null
FF,Josh Smoker,445988,Ball,null,null
FS,Josh Smoker,445988,Ball,null,null
