pitch_type,player_name,batter,description,hit_speed,hit_angle
SL,Kevin Gausman,458731,Foul,null,null
FF,Kevin Gausman,458731,Foul,null,null
FS,Kevin Gausman,458731,Swinging Strike,null,null
FT,Kevin Gausman,458731,Called Strike,null,null
FF,Kevin Gausman,453056,"In play, no out",105.3,5.18
SL,Kevin Gausman,596142,"In play, out(s)",77.1,-0.86
FF,Kevin Gausman,596142,Swinging Strike,null,null
FS,Kevin Gausman,435263,Ball,null,null
FS,Kevin Gausman,435263,Foul,null,null
SL,Kevin Gausman,435263,Ball,null,null
FF,Kevin Gausman,435263,Called Strike,null,null
FS,Kevin Gausman,435263,"In play, out(s)",94.7,38.52
FS,Kevin Gausman,407893,"In play, out(s)",94.8,-7.54
FF,Kevin Gausman,407893,Ball,null,null
FS,Kevin Gausman,407893,Called Strike,null,null
FF,Kevin Gausman,543305,"In play, out(s)",84.2,39.22
SL,Kevin Gausman,591720,Ball,null,null
FS,Kevin Gausman,591720,Foul,null,null
FF,Kevin Gausman,591720,"In play, out(s)",81.7,-25.1
FF,Kevin Gausman,591720,Called Strike,null,null
SL,Kevin Gausman,591720,Called Strike,null,null
FS,Kevin Gausman,591720,Foul,null,null
FF,Kevin Gausman,456781,Ball,null,null
SL,Kevin Gausman,456781,Ball,null,null
SL,Kevin Gausman,456781,"In play, out(s)",76,-20.82
FF,Kevin Gausman,456781,Called Strike,null,null
SL,Kevin Gausman,458731,Ball,null,null
FF,Kevin Gausman,458731,Called Strike,null,null
FF,Kevin Gausman,458731,Ball,null,null
FF,Kevin Gausman,458731,"In play, no out",98,6.22
FF,Kevin Gausman,453056,Ball,null,null
FS,Kevin Gausman,453056,Ball,null,null
FS,Kevin Gausman,453056,"In play, no out",100,7.93
FF,Kevin Gausman,453056,Foul,null,null
FF,Kevin Gausman,453056,Swinging Strike,null,null
FS,Kevin Gausman,453056,Ball,null,null
FF,Kevin Gausman,596142,Ball,null,null
FF,Kevin Gausman,596142,Swinging Strike,null,null
FF,Kevin Gausman,596142,Called Strike,null,null
FF,Kevin Gausman,596142,Swinging Strike,null,null
FF,Kevin Gausman,435263,"In play, run(s)",95.7,39.75
FT,Kevin Gausman,435263,Foul,null,null
FS,Kevin Gausman,591720,Swinging Strike,null,null
FS,Kevin Gausman,591720,Ball,null,null
SL,Kevin Gausman,591720,Called Strike,null,null
FF,Kevin Gausman,591720,Ball,null,null
FS,Kevin Gausman,591720,Foul,null,null
FS,Kevin Gausman,591720,"In play, out(s)",72.2,-36.24
FF,Kevin Gausman,456781,Ball,null,null
FF,Kevin Gausman,456781,"In play, out(s)",103.1,-19.89
FT,Kevin Gausman,458731,Ball,null,null
FS,Kevin Gausman,458731,Swinging Strike,null,null
FS,Kevin Gausman,458731,Ball,null,null
FF,Kevin Gausman,458731,Called Strike,null,null
FS,Kevin Gausman,458731,"In play, no out",65.7,-32.79
FF,Kevin Gausman,453056,Foul,null,null
FF,Kevin Gausman,453056,"In play, out(s)",75.4,-9.62
FS,Kevin Gausman,453056,Ball,null,null
FS,Kevin Gausman,453056,Ball In Dirt,null,null
SL,Kevin Gausman,596142,Ball,null,null
SL,Kevin Gausman,596142,Ball,null,null
SL,Kevin Gausman,596142,Ball,null,null
FF,Kevin Gausman,596142,Ball,null,null
FS,Kevin Gausman,435263,Ball,null,null
