pitch_type,player_name,batter,description,hit_speed,hit_angle
CU,Matt Barnes,581527,"In play, out(s)",98.2,22.75
CU,Matt Barnes,581527,Foul,null,null
CH,Matt Barnes,453064,Foul,null,null
FF,Matt Barnes,453064,Ball,null,null
CH,Matt Barnes,453064,Foul,null,null
CU,Matt Barnes,453064,Called Strike,null,null
CU,Matt Barnes,453064,Ball In Dirt,null,null
CH,Matt Barnes,453064,"In play, out(s)",99.2,19.83
FF,Matt Barnes,459431,Ball,null,null
FF,Matt Barnes,459431,Called Strike,null,null
FF,Matt Barnes,459431,Foul,null,null
CU,Matt Barnes,459431,Ball,null,null
FF,Matt Barnes,459431,Called Strike,null,null
FF,Matt Barnes,459431,Ball,null,null
FF,Matt Barnes,459431,Foul (Runner Going),null,null
FF,Matt Barnes,459431,Foul (Runner Going),null,null
FF,Matt Barnes,459431,Ball,null,null
FF,Matt Barnes,607680,Ball,null,null
FF,Matt Barnes,607680,"In play, run(s)",88.4,3.11
CU,Matt Barnes,607680,Called Strike,null,null
FF,Matt Barnes,485567,Foul,null,null
FF,Matt Barnes,485567,"In play, out(s)",96.2,-2.11
FF,Matt Barnes,485567,Foul Bunt,null,null
FF,Matt Barnes,485567,Ball,null,null
CU,Matt Barnes,485567,Ball In Dirt,null,null
FF,Matt Barnes,523253,Ball,null,null
CH,Matt Barnes,523253,"In play, no out",67.8,9.72
CU,Matt Barnes,523253,Called Strike,null,null
FF,Matt Barnes,543094,Swinging Strike,null,null
FF,Matt Barnes,543094,Swinging Strike,null,null
FF,Matt Barnes,543094,Ball,null,null
CU,Matt Barnes,543094,Ball In Dirt,null,null
FF,Matt Barnes,543094,Called Strike,null,null
FF,Matt Barnes,446334,Ball,null,null
FF,Matt Barnes,446334,Ball,null,null
FF,Matt Barnes,446334,Ball,null,null
FF,Matt Barnes,446334,Ball,null,null
CU,Matt Barnes,545338,Called Strike,null,null
FF,Matt Barnes,545338,Ball,null,null
FF,Matt Barnes,545338,"In play, out(s)",72.7,50.34
CH,Matt Barnes,435064,Swinging Strike,null,null
FF,Matt Barnes,435064,Called Strike,null,null
FF,Matt Barnes,435064,Swinging Strike,null,null
CU,Matt Barnes,543094,Called Strike,null,null
CU,Matt Barnes,543094,Called Strike,null,null
FF,Matt Barnes,543094,Swinging Strike,null,null
FF,Matt Barnes,523253,Called Strike,null,null
FF,Matt Barnes,523253,Ball,null,null
CH,Matt Barnes,523253,Ball,null,null
FF,Matt Barnes,523253,Ball,null,null
FF,Matt Barnes,523253,Ball,null,null
FF,Matt Barnes,641820,Ball,null,null
FF,Matt Barnes,641820,"In play, out(s)",87.7,-4.36
CU,Matt Barnes,641820,Called Strike,null,null
FF,Matt Barnes,641820,Ball,null,null
FF,Matt Barnes,641820,Swinging Strike,null,null
FF,Matt Barnes,547957,Foul,null,null
FF,Matt Barnes,547957,Ball,null,null
CU,Matt Barnes,547957,Ball In Dirt,null,null
FF,Matt Barnes,547957,"In play, no out",93.5,-16.32
FF,Matt Barnes,547957,Called Strike,null,null
FF,Matt Barnes,547957,Foul,null,null
CH,Matt Barnes,429666,Called Strike,null,null
FF,Matt Barnes,429666,Called Strike,null,null
CH,Matt Barnes,429666,Ball,null,null
CU,Matt Barnes,429666,"In play, run(s)",null,null
FF,Matt Barnes,596142,Called Strike,null,null
CH,Matt Barnes,596142,Ball,null,null
CU,Matt Barnes,596142,Ball,null,null
FF,Matt Barnes,596142,Called Strike,null,null
FF,Matt Barnes,596142,Swinging Strike,null,null
CU,Matt Barnes,407893,Ball,null,null
CU,Matt Barnes,407893,Called Strike,null,null
CU,Matt Barnes,407893,"In play, out(s)",87.4,-5.36
CU,Matt Barnes,544369,Foul,null,null
CU,Matt Barnes,544369,Ball,null,null
FF,Matt Barnes,544369,Ball,null,null
FF,Matt Barnes,544369,Ball,null,null
CU,Matt Barnes,544369,Ball,null,null
FF,Matt Barnes,544369,Called Strike,null,null
FF,Matt Barnes,544369,Foul,null,null
CU,Matt Barnes,591720,Ball,null,null
FF,Matt Barnes,591720,Foul,null,null
