pitch_type,player_name,batter,description,hit_speed,hit_angle
FC,Mike Fiers,452234,"In play, out(s)",99.6,14.47
FF,Mike Fiers,452234,Called Strike,null,null
SL,Mike Fiers,443558,"In play, run(s)",78.4,7.83
SL,Mike Fiers,443558,Called Strike,null,null
CH,Mike Fiers,572122,"In play, no out",77.1,9.43
FC,Mike Fiers,572122,Called Strike,null,null
CU,Mike Fiers,452252,Ball In Dirt,null,null
CU,Mike Fiers,452252,Ball,null,null
CU,Mike Fiers,452252,Ball,null,null
FF,Mike Fiers,452252,Swinging Strike,null,null
CU,Mike Fiers,452252,Called Strike,null,null
CU,Mike Fiers,452252,Foul,null,null
FF,Mike Fiers,452252,Foul,null,null
FF,Mike Fiers,452252,Foul (Runner Going),null,null
CU,Mike Fiers,606466,Ball In Dirt,null,null
FF,Mike Fiers,606466,"In play, no out",101.7,-11.94
FF,Mike Fiers,606466,Called Strike,null,null
CH,Mike Fiers,606466,Swinging Strike,null,null
CH,Mike Fiers,606466,Foul,null,null
CU,Mike Fiers,606466,Ball In Dirt,null,null
FF,Mike Fiers,493114,"In play, run(s)",94.9,18.18
FF,Mike Fiers,493114,Called Strike,null,null
FF,Mike Fiers,452234,"In play, run(s)",89.5,44.99
CU,Mike Fiers,452234,Called Strike,null,null
FF,Mike Fiers,429664,Called Strike,null,null
FF,Mike Fiers,429664,Ball,null,null
FF,Mike Fiers,429664,Called Strike,null,null
CU,Mike Fiers,429664,Ball,null,null
FF,Mike Fiers,429664,Foul,null,null
FF,Mike Fiers,443558,"In play, no out",86.6,20.01
FF,Mike Fiers,443558,Foul,null,null
FF,Mike Fiers,572122,Called Strike,null,null
CU,Mike Fiers,572122,Ball In Dirt,null,null
FF,Mike Fiers,572122,"In play, out(s)",88.5,48.53
CU,Mike Fiers,572122,Ball,null,null
CU,Mike Fiers,572122,Called Strike,null,null
FF,Mike Fiers,572122,Ball,null,null
FF,Mike Fiers,452252,Foul,null,null
CU,Mike Fiers,452252,Called Strike,null,null
FF,Mike Fiers,452252,Foul,null,null
FF,Mike Fiers,452252,"In play, run(s)",105.3,14.37
CH,Mike Fiers,547982,Swinging Strike,null,null
CU,Mike Fiers,547982,Ball,null,null
FF,Mike Fiers,547982,Ball,null,null
CH,Mike Fiers,547982,Foul,null,null
CU,Mike Fiers,547982,Foul,null,null
CU,Mike Fiers,547982,Ball In Dirt,null,null
CH,Mike Fiers,547982,Called Strike,null,null
SL,Mike Fiers,491696,"In play, out(s)",93.9,-13.59
FF,Mike Fiers,491696,Called Strike,null,null
CH,Mike Fiers,606466,Called Strike,null,null
CH,Mike Fiers,606466,Ball,null,null
FF,Mike Fiers,606466,Foul,null,null
FF,Mike Fiers,606466,Ball,null,null
CH,Mike Fiers,606466,Ball,null,null
CH,Mike Fiers,606466,"In play, out(s)",85.6,19.42
CU,Mike Fiers,452234,Ball,null,null
CU,Mike Fiers,452234,Ball,null,null
FF,Mike Fiers,452234,Foul,null,null
FC,Mike Fiers,452234,Called Strike,null,null
FC,Mike Fiers,452234,Foul,null,null
FC,Mike Fiers,452234,"In play, out(s)",73.1,12.25
FC,Mike Fiers,429664,Foul,null,null
CU,Mike Fiers,429664,Swinging Strike (Blocked),null,null
FC,Mike Fiers,429664,Foul,null,null
CU,Mike Fiers,429664,Ball,null,null
SL,Mike Fiers,443558,Foul,null,null
CH,Mike Fiers,443558,Ball,null,null
FF,Mike Fiers,443558,Foul,null,null
CH,Mike Fiers,443558,Ball,null,null
FF,Mike Fiers,443558,Swinging Strike,null,null
FF,Mike Fiers,493114,"In play, out(s)",89.7,-16.13
FF,Mike Fiers,493114,Ball,null,null
CH,Mike Fiers,493114,Ball,null,null
CH,Mike Fiers,493114,Swinging Strike,null,null
FF,Mike Fiers,493114,Foul,null,null
CU,Mike Fiers,493114,Called Strike,null,null
CU,Mike Fiers,493114,Ball,null,null
CU,Mike Fiers,493114,"In play, out(s)",77.1,-34.64
CH,Mike Fiers,547982,Foul,null,null
CU,Mike Fiers,547982,"In play, out(s)",90.8,-19.84
FF,Mike Fiers,547982,Ball,null,null
FF,Mike Fiers,429664,"In play, no out",74.2,27.54
FF,Mike Fiers,429664,Ball,null,null
FF,Mike Fiers,491696,Ball,null,null
FF,Mike Fiers,491696,Called Strike,null,null
SL,Mike Fiers,491696,Called Strike,null,null
CU,Mike Fiers,491696,Ball,null,null
SL,Mike Fiers,491696,Ball,null,null
FF,Mike Fiers,491696,"In play, no out",81.1,21.71
SL,Mike Fiers,592743,Ball,null,null
CH,Mike Fiers,592743,"In play, out(s)",68.6,-10.97
SL,Mike Fiers,592743,Called Strike,null,null
FF,Mike Fiers,592743,Ball,null,null
SL,Mike Fiers,488862,Ball,null,null
CU,Mike Fiers,488862,Foul,null,null
FF,Mike Fiers,488862,Called Strike,null,null
FF,Mike Fiers,488862,Foul,null,null
CU,Mike Fiers,488862,Swinging Strike,null,null
FF,Mike Fiers,545361,Ball,null,null
FF,Mike Fiers,545361,Foul,null,null
FF,Mike Fiers,545361,Ball,null,null
FF,Mike Fiers,545361,Ball,null,null
FF,Mike Fiers,545361,Ball,null,null
FF,Mike Fiers,405395,"In play, run(s)",102.1,42.97
FF,Mike Fiers,543068,Called Strike,null,null
CH,Mike Fiers,543068,Foul,null,null
CU,Mike Fiers,543068,Foul,null,null
FF,Mike Fiers,543068,Foul,null,null
FF,Mike Fiers,543068,Called Strike,null,null
CU,Mike Fiers,543068,Ball,null,null
CU,Mike Fiers,543068,Ball,null,null
CU,Mike Fiers,543068,Foul,null,null
CU,Mike Fiers,527043,Ball,null,null
CU,Mike Fiers,527043,Ball In Dirt,null,null
CH,Mike Fiers,527043,Swinging Strike,null,null
CU,Mike Fiers,527043,Called Strike,null,null
FF,Mike Fiers,527043,Called Strike,null,null
CU,Mike Fiers,527043,Ball,null,null
CU,Mike Fiers,542364,Ball,null,null
CH,Mike Fiers,542364,Ball,null,null
CH,Mike Fiers,542364,Swinging Strike,null,null
CU,Mike Fiers,542364,"In play, out(s)",73.5,-2.19
FF,Mike Fiers,542364,Called Strike,null,null
CU,Mike Fiers,542364,Foul,null,null
SL,Mike Fiers,463610,"In play, out(s)",null,null
FF,Mike Fiers,463610,Called Strike,null,null
CH,Mike Fiers,488862,Called Strike,null,null
CH,Mike Fiers,488862,Called Strike,null,null
CU,Mike Fiers,488862,Swinging Strike,null,null
SL,Mike Fiers,545361,Ball,null,null
SL,Mike Fiers,545361,Swinging Strike,null,null
SL,Mike Fiers,545361,Called Strike,null,null
FF,Mike Fiers,545361,Foul,null,null
FF,Mike Fiers,545361,Ball,null,null
SL,Mike Fiers,405395,Called Strike,null,null
SL,Mike Fiers,405395,"In play, out(s)",71,83.14
SL,Mike Fiers,405395,Ball,null,null
