,player_name,pitch_seq,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel
1,Adam Wainwright,FF|FF,82.37777778,11.82666667,0.075,0.275,0.444444444,0.111111111,0.444444444,0,0.0605,1.2452,0.164,0.7085,0.0063,0.0429,0.2314
2,Adam Wainwright,CH|CH,70.2,10.73,0.25,0.5,0,1,0,0,,,,,,,
3,Adam Wainwright,CU|FF,84.9,14.645,0.114285714,0.514285714,0.333333333,0.333333333,0.333333333,0,0.8026,1.7909,0.1765,1.1885,0.1036,0.954,0.1485
6,Adam Wainwright,FF|CU,81.33157895,-0.857894737,0.177419355,0.403225806,0.578947368,0.368421053,0.052631579,0,,,,,,,
7,Adam Wainwright,CH|FF,107.9,6.08,0,0,1,0,0,0,,,,,,,
9,Adam Wainwright,CU|CH,87,-2.93,0.25,0.75,1,0,0,0,,,,,,,
10,Adam Wainwright,CU|CU,84.23571429,11.56290323,0.214953271,0.46728972,0.516129032,0.225806452,0.193548387,0.064516129,,,,,,,
11,Adam Wainwright,FF|FC,86.11363636,21.45818182,0.137931034,0.465517241,0.409090909,0.227272727,0.272727273,0.090909091,,,,,,,
12,Adam Wainwright,FF|SI,96.22,14.508,0.034482759,0.24137931,0.4,0.3,0.3,0,,,,,,,
14,Adam Wainwright,FC|FF,82.21818182,21.05727273,0.12,0.38,0.272727273,0.454545455,0.272727273,0,,,,,,,
15,Adam Wainwright,FC|FC,83.071875,8.463939394,0.171875,0.453125,0.606060606,0.151515152,0.181818182,0.060606061,,,,,,,
