"","player_name","pitch_seq","hit_speed_avg","hit_angle_avg","swinging.strike","strike.rate","ground","line_drive","fly_ball","pop_up"
"1","Adam Warren","FF|FF",90.2722222222222,30.6955555555556,0.116883116883117,0.493506493506494,0.277777777777778,0.111111111111111,0.5,0.111111111111111
"2","Adam Warren","CH|CH",88.3666666666667,4.92,0.157894736842105,0.631578947368421,0.666666666666667,0,0.333333333333333,0
"3","Adam Warren","CU|FF",95.075,18.33,0.173913043478261,0.565217391304348,0.25,0.25,0.5,0
"4","Adam Warren","CU|FT",92.8,10.37,0.2,0.2,0,1,0,0
"5","Adam Warren","FF|CH",90.7,18.96,0.344827586206897,0.758620689655172,0.5,0.25,0,0.25
"6","Adam Warren","FF|CU",79.375,-12.8525,0.105263157894737,0.210526315789474,0.75,0.25,0,0
"7","Adam Warren","CH|FF",87.75,23.54,0.09375,0.5625,0.166666666666667,0.333333333333333,0.5,0
"8","Adam Warren","CH|FT",85.6,25.365,0.2,0.7,0.5,0,0.5,0
"9","Adam Warren","CU|CH",95.85,1.665,0.25,0.625,1,0,0,0
"10","Adam Warren","CU|CU",86.4,-1.42,0.454545454545455,0.818181818181818,1,0,0,0
"13","Adam Warren","FF|SL",84.4571428571429,13.865625,0.120689655172414,0.413793103448276,0.5,0.125,0.3125,0.0625
"16","Adam Warren","FC|FT",99,33.57,0,0,0,0,1,0
"17","Adam Warren","FT|CH",88.9,24.9425,0,0.363636363636364,0,0.25,0.75,0
"18","Adam Warren","FT|CU",94.5,24.28,0,0.6,0,1,0,0
"19","Adam Warren","FT|FF",92.3666666666667,15.6533333333333,0.1875,0.375,0.666666666666667,0,0.333333333333333,0
"21","Adam Warren","FT|FT",90.75,21.715,0.153846153846154,0.461538461538462,0.25,0.5,0.25,0
"22","Adam Warren","FT|SL",96.7,39.465,0.25,0.5,0,0.5,0.5,0
"23","Adam Warren","SL|FF",89.35,26.4488888888889,0.1,0.48,0.111111111111111,0.444444444444444,0.444444444444444,0
"24","Adam Warren","SL|FT",81.05,34.0633333333333,0.142857142857143,0.428571428571429,0.333333333333333,0,0.666666666666667,0
"25","Adam Warren","SL|SL",89.35,19.361,0.210526315789474,0.543859649122807,0.3,0.3,0.3,0.1
