,player_name,pitch_seq,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel
1,Andrew Cashner,FF|FF,94.02786885,16.24275362,0.089219331,0.416356877,0.362318841,0.217391304,0.391304348,0.028985507,0.0573,1.329,0.1724,0.7715,0.0037,0.0442,0.2235
2,Andrew Cashner,CH|CH,88.06666667,5.01,0.1875,0.625,0.666666667,0.333333333,0,0,,,,,,,
3,Andrew Cashner,CU|FF,86.05,12.145,0.4,0.6,0.5,0.5,0,0,0.5753,1.7871,0.1744,1.1389,0.0624,0.6552,0.1531
5,Andrew Cashner,FF|CH,91.3,-2.09,0.078947368,0.421052632,0.857142857,0.071428571,0.071428571,0,,,,,,,
6,Andrew Cashner,FF|CU,98,-13.39,0,0,1,0,0,0,,,,,,,
7,Andrew Cashner,CH|FF,97.88333333,-1.911428571,0.097560976,0.512195122,0.857142857,0,0.142857143,0,,,,,,,
8,Andrew Cashner,CH|FT,96.23333333,35.98,0.125,0.5,0,0.25,0.75,0,,,,,,,
13,Andrew Cashner,FF|SL,87.76976744,3.920222222,0.25308642,0.50617284,0.577777778,0.288888889,0.133333333,0,,,,,,,
17,Andrew Cashner,FT|CH,88.92,10.53833333,0,0.25,0.333333333,0.333333333,0.333333333,0,,,,,,,
19,Andrew Cashner,FT|FF,89.96,26.96,0.102941176,0.558823529,0.333333333,0,0.5,0.166666667,,,,,,,
21,Andrew Cashner,FT|FT,91.73636364,2.335833333,0.029411765,0.382352941,0.75,0.166666667,0,0.083333333,,,,,,,
22,Andrew Cashner,FT|SL,90.10666667,2.369411765,0.111111111,0.361111111,0.705882353,0.235294118,0.058823529,0,,,,,,,
23,Andrew Cashner,SL|FF,89.58064516,17.6,0.085365854,0.469512195,0.363636364,0.272727273,0.333333333,0.03030303,,,,,,,
24,Andrew Cashner,SL|FT,94.45,17.70888889,0.024390244,0.341463415,0.222222222,0.444444444,0.333333333,0,,,,,,,
25,Andrew Cashner,SL|SL,87.92857143,9.905,0.307692308,0.582417582,0.5,0.214285714,0.285714286,0,,,,,,,
