"","player_name","pitch_seq","hit_speed_avg","hit_angle_avg","swinging.strike","strike.rate","ground","line_drive","fly_ball","pop_up"
"1","Homer Bailey","FF|FF",92.4666666666667,6.52333333333333,0.119047619047619,0.5,0.5,0.5,0,0
"2","Homer Bailey","CH|CH",96.6,45.42,0,0.545454545454545,0,0,1,0
"5","Homer Bailey","FF|CH",86.25,40.335,0,0.375,0,0,1,0
"7","Homer Bailey","CH|FF",90.5,16.825,0.166666666666667,0.416666666666667,0.5,0.25,0.25,0
"13","Homer Bailey","FF|SL",94.4,-9.09666666666667,0.35,0.65,1,0,0,0
"17","Homer Bailey","FT|CH",93.5333333333333,9.3,0,0.4,0.666666666666667,0,0.333333333333333,0
"22","Homer Bailey","FT|SL",68.1,-6.665,0.25,0.5,0.5,0,0.5,0
"23","Homer Bailey","SL|FF",82,35.55,0.111111111111111,0.444444444444444,0,0.5,0.5,0
"24","Homer Bailey","SL|FT",104.5,8.41,0.1,0.5,1,0,0,0
"25","Homer Bailey","SL|SL",90.46,18.842,0.0909090909090909,0.363636363636364,0.4,0,0.6,0
