"","player_name","pitch_seq","hit_speed_avg","hit_angle_avg","swinging.strike","strike.rate","ground","line_drive","fly_ball","pop_up"
"1","J.T. Chargois","FF|FF",89.9666666666667,4.265,0.142857142857143,0.523809523809524,0.666666666666667,0.166666666666667,0.166666666666667,0
"5","J.T. Chargois","FF|CH",106.1,7.44,0.142857142857143,0.857142857142857,1,0,0,0
"7","J.T. Chargois","CH|FF",103.8,11.18,0.1,0.5,0,1,0,0
"8","J.T. Chargois","CH|FT",104.7,8.76,0.166666666666667,0.5,1,0,0,0
"13","J.T. Chargois","FF|SL",100.4,41.23,0.0909090909090909,0.454545454545455,0,0,1,0
"17","J.T. Chargois","FT|CH",87.3,15.29,0.25,0.5,0,1,0,0
"19","J.T. Chargois","FT|FF",96.8,25.14,0,0.333333333333333,0,0.5,0.5,0
"21","J.T. Chargois","FT|FT",99.1,-7.515,0,0.538461538461538,1,0,0,0
"22","J.T. Chargois","FT|SL",87.9,-16.75,0.25,0.333333333333333,1,0,0,0
"23","J.T. Chargois","SL|FF",92.1,-2.892,0.0869565217391304,0.434782608695652,0.8,0,0.2,0
"24","J.T. Chargois","SL|FT",93.6,20.38,0.2,0.6,0,1,0,0
"25","J.T. Chargois","SL|SL",90.1125,7.2,0.272727272727273,0.454545454545455,0.75,0,0.25,0
