"","player_name","pitch_seq","hit_speed_avg","hit_angle_avg","swinging.strike","strike.rate","ground","line_drive","fly_ball","pop_up"
"1","Joe Kelly","FF|FF",88.88125,11.1123529411765,0.243589743589744,0.525641025641026,0.529411764705882,0.235294117647059,0.235294117647059,0
"2","Joe Kelly","CH|CH",79.5666666666667,-6.70666666666667,0.142857142857143,0.285714285714286,0.666666666666667,0.333333333333333,0,0
"3","Joe Kelly","CU|FF",101.9,-6.04,0.125,0.375,1,0,0,0
"4","Joe Kelly","CU|FT",100.5,14.67,0.333333333333333,0.666666666666667,0,1,0,0
"5","Joe Kelly","FF|CH",107.9,16.42,0.333333333333333,0.333333333333333,0,1,0,0
"7","Joe Kelly","CH|FF",100,29.46,0.166666666666667,0.333333333333333,0,0,1,0
"8","Joe Kelly","CH|FT",103.4,0.47,0.333333333333333,0.333333333333333,1,0,0,0
"10","Joe Kelly","CU|CU",103.1,11.63,0,0.111111111111111,0,1,0,0
"13","Joe Kelly","FF|SL",71.9666666666667,-23.5333333333333,0.352941176470588,0.588235294117647,1,0,0,0
"17","Joe Kelly","FT|CH",87.275,12.045,0.142857142857143,0.285714285714286,0.75,0,0.25,0
"21","Joe Kelly","FT|FT",94.5,-9.67,0.05,0.4,0.833333333333333,0.166666666666667,0,0
"22","Joe Kelly","FT|SL",90.6333333333333,11.02,0.125,0.125,0.666666666666667,0,0.333333333333333,0
"23","Joe Kelly","SL|FF",99.225,4.2475,0.25,0.607142857142857,1,0,0,0
"24","Joe Kelly","SL|FT",93.6666666666667,-7.19333333333333,0,0.181818181818182,0.833333333333333,0.166666666666667,0,0
"25","Joe Kelly","SL|SL",108,1.99,0.35,0.7,1,0,0,0
