"","player_name","pitch_seq","hit_speed_avg","hit_angle_avg","swinging.strike","strike.rate","ground","line_drive","fly_ball","pop_up"
"1","Jon Lester","FF|FF",88.748051948052,16.081975308642,0.106796116504854,0.456310679611651,0.419753086419753,0.234567901234568,0.271604938271605,0.0740740740740741
"3","Jon Lester","CU|FF",86.1823529411765,15.3241176470588,0.101851851851852,0.481481481481481,0.294117647058824,0.470588235294118,0.235294117647059,0
"5","Jon Lester","FF|CH",86.8363636363636,4.59909090909091,0.352941176470588,0.5,0.818181818181818,0.0909090909090909,0.0909090909090909,0
"6","Jon Lester","FF|CU",90.9857142857143,23.113125,0.371134020618557,0.56701030927835,0.3125,0.125,0.5625,0
"7","Jon Lester","CH|FF",99.4125,2.51,0.130434782608696,0.5,0.6,0.2,0.2,0
"9","Jon Lester","CU|CH",87.925,9.42,0.538461538461538,0.615384615384615,0.75,0,0.25,0
"10","Jon Lester","CU|CU",81.54,21.416,0.36,0.48,0.4,0.2,0.4,0
"11","Jon Lester","FF|FC",88.1888888888889,13.0094444444444,0.23489932885906,0.563758389261745,0.416666666666667,0.25,0.333333333333333,0
"12","Jon Lester","FF|SI",88.8782608695652,-1.29,0.157303370786517,0.415730337078652,0.75,0.0833333333333333,0.166666666666667,0
"14","Jon Lester","FC|FF",90.9047619047619,21.1541666666667,0.096,0.48,0.291666666666667,0.25,0.416666666666667,0.0416666666666667
"15","Jon Lester","FC|FC",89.68125,1.86625,0.163636363636364,0.490909090909091,0.625,0.125,0.25,0
"27","Jon Lester","CU|FC",81.5,5.814,0.171428571428571,0.6,0.6,0.2,0.2,0
"28","Jon Lester","CU|SI",93.925,13.05,0.0588235294117647,0.411764705882353,0.5,0.25,0.25,0
"29","Jon Lester","FC|CU",85.55,1.43857142857143,0.258064516129032,0.451612903225806,0.571428571428571,0.285714285714286,0.142857142857143,0
"30","Jon Lester","FC|SI",94.0571428571429,19.9642857142857,0,0.333333333333333,0.285714285714286,0.285714285714286,0.428571428571429,0
"31","Jon Lester","SI|CU",74.34,19.568,0.142857142857143,0.5,0.4,0,0.6,0
"32","Jon Lester","SI|FC",82.6333333333333,5.42461538461539,0.0444444444444444,0.533333333333333,0.384615384615385,0.538461538461538,0.0769230769230769,0
"33","Jon Lester","SI|SI",90.2,15.484,0.117647058823529,0.470588235294118,0.2,0.6,0.2,0
"34","Jon Lester","CH|SI",87.5,16.02,0,0.416666666666667,0,1,0,0
"35","Jon Lester","SI|CH",81.2,-9.39,0.222222222222222,0.555555555555556,1,0,0,0
"36","Jon Lester","SI|FF",89.8857142857143,18.4439130434783,0.119266055045872,0.385321100917431,0.347826086956522,0.304347826086957,0.304347826086957,0.0434782608695652
"38","Jon Lester","SI|FF",89.8857142857143,18.4439130434783,0.119266055045872,0.385321100917431,0.347826086956522,0.304347826086957,0.304347826086957,0.0434782608695652
