"","player_name","pitch_seq","hit_speed_avg","hit_angle_avg","swinging.strike","strike.rate","ground","line_drive","fly_ball","pop_up"
"1","Jose Berrios","FF|FF",95.3615384615385,22.7778571428571,0.140845070422535,0.492957746478873,0.214285714285714,0.357142857142857,0.357142857142857,0.0714285714285714
"2","Jose Berrios","CH|CH",100.6,6.14,0.2,0.733333333333333,0.5,0.5,0,0
"3","Jose Berrios","CU|FF",87.0375,18.4763636363636,0.0833333333333333,0.458333333333333,0.363636363636364,0.272727272727273,0.363636363636364,0
"4","Jose Berrios","CU|FT",86.7625,10.64,0.121212121212121,0.545454545454545,0.375,0.5,0.125,0
"5","Jose Berrios","FF|CH",80.0166666666667,12.0757142857143,0.0952380952380952,0.476190476190476,0.428571428571429,0,0.428571428571429,0.142857142857143
"6","Jose Berrios","FF|CU",90.1857142857143,17.77625,0.184210526315789,0.473684210526316,0.375,0.25,0.375,0
"7","Jose Berrios","CH|FF",78.2333333333333,-0.209999999999999,0.192307692307692,0.653846153846154,0.333333333333333,0.666666666666667,0,0
"8","Jose Berrios","CH|FT",93.2444444444444,8.584,0.225806451612903,0.516129032258065,0.5,0.3,0.1,0.1
"9","Jose Berrios","CU|CH",88.65,44.71,0.214285714285714,0.571428571428571,0,0,1,0
"10","Jose Berrios","CU|CU",94.6166666666667,31.3728571428571,0.208333333333333,0.416666666666667,0.285714285714286,0.285714285714286,0.285714285714286,0.142857142857143
"17","Jose Berrios","FT|CH",85.1285714285714,23.93375,0.166666666666667,0.541666666666667,0.5,0.125,0.375,0
"18","Jose Berrios","FT|CU",89.8,25.76625,0.0645161290322581,0.225806451612903,0.125,0.5,0.375,0
"19","Jose Berrios","FT|FF",92.2166666666667,30.71,0.15,0.525,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667
"21","Jose Berrios","FT|FT",92.57,32.036,0.147058823529412,0.5,0.2,0.1,0.6,0.1
