"","player_name","pitch_seq","hit_speed_avg","hit_angle_avg","swinging.strike","strike.rate","ground","line_drive","fly_ball","pop_up"
"1","Pedro Baez","FF|FF",90.3969696969697,23.0097674418605,0.243478260869565,0.665217391304348,0.302325581395349,0.302325581395349,0.255813953488372,0.13953488372093
"2","Pedro Baez","CH|CH",82.8,34.42,0.3,0.7,0,0,1,0
"5","Pedro Baez","FF|CH",92.0083333333333,17.9069230769231,0.282608695652174,0.456521739130435,0.307692307692308,0.461538461538462,0.153846153846154,0.0769230769230769
"7","Pedro Baez","CH|FF",87.5333333333333,22.733,0.258620689655172,0.603448275862069,0.2,0.4,0.3,0.1
"8","Pedro Baez","CH|FT",101.5,-5.8,0.111111111111111,0.777777777777778,1,0,0,0
"13","Pedro Baez","FF|SL",83.8428571428571,-5.00571428571429,0.21875,0.40625,0.857142857142857,0.142857142857143,0,0
"17","Pedro Baez","FT|CH",80.8333333333333,24.97,0.142857142857143,0.428571428571429,0.333333333333333,0.333333333333333,0,0.333333333333333
"19","Pedro Baez","FT|FF",91,22.3423076923077,0.313725490196078,0.568627450980392,0.461538461538462,0.0769230769230769,0.307692307692308,0.153846153846154
"21","Pedro Baez","FT|FT",86.8,18.99,0.12,0.64,0.285714285714286,0.142857142857143,0.571428571428571,0
"22","Pedro Baez","FT|SL",90.75,13.27,0.333333333333333,0.333333333333333,0.5,0,0.5,0
"23","Pedro Baez","SL|FF",90.0666666666667,35.29,0.145454545454545,0.545454545454545,0.111111111111111,0.222222222222222,0.555555555555556,0.111111111111111
"25","Pedro Baez","SL|SL",80.7,4.885,0.153846153846154,0.230769230769231,1,0,0,0
