"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Andrew Bailey",643603,"FC|FF","Foul","null","null"
"3","Andrew Bailey",643603,"FF|FF","Foul","null","null"
"4","Andrew Bailey",643603,"FF|FF","Swinging Strike","null","null"
"6","Andrew Bailey",643603,"FF|FC","Swinging Strike","null","null"
"7","Andrew Bailey",643603,"FC|CU","In play, out(s)","77.3","30.34"
"10","Andrew Bailey",607223,"CU|FC","Swinging Strike","null","null"
"11","Andrew Bailey",607223,"FC|FF","Called Strike","null","null"
"12","Andrew Bailey",607223,"FF|FF","Called Strike","null","null"
"13","Andrew Bailey",607223,"FF|FF","Foul","null","null"
"16","Andrew Bailey",514888,"FF|FC","In play, no out","71.7","23.27"
"18","Andrew Bailey",519390,"CU|FC","In play, out(s)","61.1","81"
"19","Andrew Bailey",519390,"FC|FF","Foul","null","null"
"20","Andrew Bailey",519390,"FF|FF","Foul","null","null"
"22","Andrew Bailey",501981,"FC|FF","Foul","null","null"
"25","Andrew Bailey",501981,"FC|FF","Called Strike","null","null"
"27","Andrew Bailey",501981,"FC|CU","Foul","null","null"
"30","Andrew Bailey",475174,"FF|FC","Foul","null","null"
"32","Andrew Bailey",475174,"FF|FF","Foul","null","null"
"34","Andrew Bailey",475174,"FF|FF","Foul","null","null"
"35","Andrew Bailey",475174,"FF|FF","In play, out(s)","85.6","-22.75"
"37","Andrew Bailey",592387,"FF|FC","In play, out(s)","64.1","-45.64"
"38","Andrew Bailey",592387,"FC|FF","Called Strike","null","null"
"39","Andrew Bailey",592387,"FF|FC","Foul","null","null"
"41","Andrew Bailey",545350,"FF|FF","Swinging Strike","null","null"
"42","Andrew Bailey",545350,"FF|FF","Called Strike","null","null"
"43","Andrew Bailey",545350,"FF|FF","Swinging Strike","null","null"
"45","Andrew Bailey",493329,"FC|FC","Swinging Strike","null","null"
"46","Andrew Bailey",493329,"FC|FF","Foul","null","null"
"49","Andrew Bailey",543807,"FC|FF","In play, no out","85.8","14.6"
"50","Andrew Bailey",543807,"FF|FF","Swinging Strike","null","null"
"52","Andrew Bailey",543807,"FF|FF","Foul","null","null"
"57","Andrew Bailey",514888,"FF|FC","In play, no out","94.3","5.96"
"59","Andrew Bailey",621043,"FF|FF","Called Strike","null","null"
"60","Andrew Bailey",621043,"FF|FF","Foul","null","null"
"61","Andrew Bailey",621043,"FF|CU","In play, out(s)","86.9","28.92"
"67","Andrew Bailey",519048,"FC|FF","Called Strike","null","null"
"68","Andrew Bailey",519048,"FF|FF","Called Strike","null","null"
"72","Andrew Bailey",595777,"CU|FF","Foul","null","null"
"74","Andrew Bailey",595777,"CU|null","Hit By Pitch","null","null"
"75","Andrew Bailey",595777,"null|FF","Called Strike","null","null"
"78","Andrew Bailey",581527,"FF|FF","Foul","null","null"
"81","Andrew Bailey",581527,"FF|FF","Called Strike","null","null"
"82","Andrew Bailey",581527,"FF|FF","Swinging Strike","null","null"
"83","Andrew Bailey",581527,"FF|CU","Foul","null","null"
"84","Andrew Bailey",581527,"CU|CU","Swinging Strike","null","null"
"86","Andrew Bailey",518626,"FF|FF","Foul","null","null"
"87","Andrew Bailey",518626,"FF|FC","In play, out(s)","103.8","21.64"
"89","Andrew Bailey",518626,"FF|FC","Called Strike","null","null"
"91","Andrew Bailey",518626,"FC|CU","Called Strike","null","null"
"94","Andrew Bailey",429665,"FF|CU","In play, no out","104.5","12.38"
"96","Andrew Bailey",430832,"FC|FF","In play, out(s)","82.7","-16.92"
"98","Andrew Bailey",431145,"FF|FF","Foul","null","null"
"99","Andrew Bailey",431145,"FF|FF","In play, no out","101.1","23.53"
"101","Andrew Bailey",581527,"FF|FC","In play, no out","92.3","8.02"
"102","Andrew Bailey",581527,"FC|FF","Foul","null","null"
"105","Andrew Bailey",518626,"FF|FF","Swinging Strike","null","null"
"106","Andrew Bailey",518626,"FF|FF","In play, run(s)","95.4","33.77"
"108","Andrew Bailey",429665,"FC|FC","Foul","null","null"
"109","Andrew Bailey",429665,"FC|FF","In play, run(s)","109.9","23.85"
"111","Andrew Bailey",493193,"FF|FF","Foul","null","null"
"112","Andrew Bailey",493193,"FF|FF","In play, out(s)","87.1","50.65"
"117","Andrew Bailey",547982,"FC|FF","In play, out(s)","null","null"
"118","Andrew Bailey",547982,"FF|CU","Foul","null","null"
"120","Andrew Bailey",572122,"FF|FC","Foul","null","null"
"121","Andrew Bailey",572122,"FC|FC","Called Strike","null","null"
