"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Cesar Vargas",516416,"FF|FF","Foul","null","null"
"3","Cesar Vargas",516416,"FF|SL","Swinging Strike (Blocked)","null","null"
"7","Cesar Vargas",456422,"FF|FF","Called Strike","null","null"
"10","Cesar Vargas",502671,"FF|FF","In play, no out","70.1","32.03"
"13","Cesar Vargas",571875,"FF|FF","Called Strike","null","null"
"14","Cesar Vargas",571875,"FF|FF","In play, run(s)","103.6","10.42"
"16","Cesar Vargas",456078,"FF|FF","Swinging Strike","null","null"
"17","Cesar Vargas",456078,"FF|CU","In play, out(s)","null","null"
"19","Cesar Vargas",592273,"FF|FF","In play, out(s)","81.9","4.03"
"22","Cesar Vargas",572008,"CU|FF","In play, no out","73.1","34.16"
"25","Cesar Vargas",425844,"FF|FF","Foul","null","null"
"26","Cesar Vargas",425844,"FF|SL","In play, no out","88.8","3.52"
"28","Cesar Vargas",605113,"SL|FF","Foul","null","null"
"30","Cesar Vargas",605113,"SL|FF","Foul","null","null"
"31","Cesar Vargas",605113,"FF|SL","Foul","null","null"
"33","Cesar Vargas",605113,"FF|SL","Foul","null","null"
"36","Cesar Vargas",516416,"SL|FF","Swinging Strike","null","null"
"37","Cesar Vargas",516416,"FF|FF","Foul","null","null"
"39","Cesar Vargas",516416,"SL|FF","Foul","null","null"
"41","Cesar Vargas",516416,"FF|FF","Foul","null","null"
"42","Cesar Vargas",516416,"FF|FF","Foul","null","null"
"43","Cesar Vargas",516416,"FF|FF","In play, run(s)","74.4","38.23"
"47","Cesar Vargas",456422,"FF|CH","Foul","null","null"
"48","Cesar Vargas",456422,"CH|FF","In play, run(s)","95.3","10.4"
"50","Cesar Vargas",502671,"FF|FF","In play, run(s)","106.8","30.54"
"53","Cesar Vargas",571875,"FT|FF","Swinging Strike","null","null"
"54","Cesar Vargas",571875,"FF|FF","Foul","null","null"
"56","Cesar Vargas",571875,"SL|FF","Foul","null","null"
"58","Cesar Vargas",571875,"FT|FT","Foul","null","null"
"59","Cesar Vargas",571875,"FT|FF","Foul","null","null"
"60","Cesar Vargas",571875,"FF|FF","Foul","null","null"
"61","Cesar Vargas",571875,"FF|FF","In play, out(s)","86.9","-4.56"
"63","Cesar Vargas",592626,"SL|SL","Called Strike","null","null"
"64","Cesar Vargas",592626,"SL|FF","In play, out(s)","89.2","-20.45"
"66","Cesar Vargas",624577,"CH|FF","Called Strike","null","null"
"68","Cesar Vargas",624577,"CH|FF","In play, out(s)","81.3","-5.64"
"71","Cesar Vargas",457759,"FF|FF","Called Strike","null","null"
"72","Cesar Vargas",457759,"FF|FF","Swinging Strike","null","null"
"73","Cesar Vargas",457759,"FF|FF","Called Strike","null","null"
"77","Cesar Vargas",572204,"FF|FF","Called Strike","null","null"
"82","Cesar Vargas",624577,"FF|FF","Foul","null","null"
"83","Cesar Vargas",624577,"FF|FF","Called Strike","null","null"
"85","Cesar Vargas",518735,"FF|SL","Called Strike","null","null"
"87","Cesar Vargas",518735,"CU|FF","Foul","null","null"
"88","Cesar Vargas",518735,"FF|SL","In play, out(s)","null","null"
"93","Cesar Vargas",400284,"FC|FF","Foul","null","null"
"96","Cesar Vargas",400284,"FC|FF","Called Strike","null","null"
"97","Cesar Vargas",400284,"FF|FF","Called Strike","null","null"
"99","Cesar Vargas",608369,"FF|FF","In play, out(s)","107.4","5.74"
"100","Cesar Vargas",608369,"FF|FF","Foul","null","null"
"106","Cesar Vargas",408236,"SL|FC","Foul","null","null"
"107","Cesar Vargas",408236,"FC|SL","Called Strike","null","null"
"109","Cesar Vargas",408236,"SL|FF","Swinging Strike","null","null"
"112","Cesar Vargas",624577,"FC|FC","Foul","null","null"
"113","Cesar Vargas",624577,"FC|FF","Foul","null","null"
"114","Cesar Vargas",624577,"FF|FC","Foul","null","null"
"117","Cesar Vargas",624577,"FC|FF","In play, out(s)","99.2","22.55"
"120","Cesar Vargas",518735,"FC|FF","Foul","null","null"
"122","Cesar Vargas",518735,"FC|FC","Called Strike","null","null"
"124","Cesar Vargas",622072,"SL|FF","Foul","null","null"
"127","Cesar Vargas",622072,"FF|FF","Called Strike","null","null"
"132","Cesar Vargas",400284,"FF|FF","In play, out(s)","91.3","-16.34"
"135","Cesar Vargas",608369,"CU|FC","Foul","null","null"
"136","Cesar Vargas",608369,"FC|SL","Swinging Strike","null","null"
"138","Cesar Vargas",457759,"FF|FF","Called Strike","null","null"
"141","Cesar Vargas",572204,"FF|SL","Foul","null","null"
"143","Cesar Vargas",572204,"FF|FF","In play, run(s)","105.2","22.33"
"145","Cesar Vargas",592626,"FF|FF","In play, out(s)","85.5","22.01"
"147","Cesar Vargas",592626,"FF|FF","Called Strike","null","null"
"149","Cesar Vargas",592626,"FF|FF","Called Strike","null","null"
"151","Cesar Vargas",518735,"CU|FF","Foul","null","null"
"152","Cesar Vargas",518735,"FF|SL","Swinging Strike","null","null"
"153","Cesar Vargas",518735,"SL|SL","Swinging Strike","null","null"
"155","Cesar Vargas",572204,"FF|SL","Called Strike","null","null"
"159","Cesar Vargas",542340,"SL|FF","Foul","null","null"
"160","Cesar Vargas",542340,"FF|FF","Called Strike","null","null"
"161","Cesar Vargas",542340,"FF|SL","Called Strike","null","null"
"162","Cesar Vargas",542340,"SL|SL","In play, no out","101.4","18.14"
"165","Cesar Vargas",571697,"CU|FF","Called Strike","null","null"
"166","Cesar Vargas",571697,"FF|FF","Called Strike","null","null"
"167","Cesar Vargas",571697,"FF|SL","Foul","null","null"
"170","Cesar Vargas",474892,"SL|FF","Called Strike","null","null"
"171","Cesar Vargas",474892,"FF|SL","Swinging Strike","null","null"
"173","Cesar Vargas",474892,"SL|FF","Swinging Strike","null","null"
"175","Cesar Vargas",543590,"FF|FF","Swinging Strike","null","null"
"176","Cesar Vargas",543590,"FF|CU","Called Strike","null","null"
"178","Cesar Vargas",502100,"FF|SL","Called Strike","null","null"
"181","Cesar Vargas",541650,"SL|FF","In play, no out","72.8","-2.67"
"183","Cesar Vargas",541650,"FF|CU","Swinging Strike","null","null"
"186","Cesar Vargas",570717,"FF|FF","In play, no out","98.3","-8.54"
"191","Cesar Vargas",605200,"SL|SL","Swinging Strike (Blocked)","null","null"
"192","Cesar Vargas",605200,"SL|FF","In play, no out","null","null"
"194","Cesar Vargas",518960,"SL|CU","Called Strike","null","null"
"195","Cesar Vargas",518960,"CU|FF","In play, out(s)","78.4","26.06"
"197","Cesar Vargas",474892,"FF|SL","Foul","null","null"
"199","Cesar Vargas",543590,"FF|SL","Swinging Strike (Blocked)","null","null"
"200","Cesar Vargas",543590,"SL|SL","Called Strike","null","null"
"205","Cesar Vargas",570717,"SL|FF","Foul","null","null"
"206","Cesar Vargas",570717,"FF|FF","In play, out(s)","69.1","48.4"
"207","Cesar Vargas",570717,"FF|FF","Called Strike","null","null"
"208","Cesar Vargas",570717,"FF|FF","Foul","null","null"
"209","Cesar Vargas",570717,"FF|SL","Foul","null","null"
"213","Cesar Vargas",542340,"FF|FF","Foul","null","null"
"215","Cesar Vargas",542340,"FF|FF","Foul","null","null"
"216","Cesar Vargas",542340,"FF|FF","Swinging Strike","null","null"
"218","Cesar Vargas",571697,"CH|FF","Called Strike","null","null"
"219","Cesar Vargas",571697,"FF|FF","Called Strike","null","null"
"222","Cesar Vargas",571697,"SL|FF","Called Strike","null","null"
"224","Cesar Vargas",518960,"CU|FF","Foul","null","null"
"225","Cesar Vargas",518960,"FF|FF","In play, run(s)","105.4","28.89"
"227","Cesar Vargas",474892,"SL|FF","Called Strike","null","null"
"230","Cesar Vargas",474892,"FF|FF","In play, no out","109.9","16.2"
"233","Cesar Vargas",543590,"SL|FF","Swinging Strike","null","null"
"234","Cesar Vargas",543590,"FF|FF","Foul","null","null"
"235","Cesar Vargas",543590,"FF|FF","Swinging Strike","null","null"
"236","Cesar Vargas",543590,"FF|FF","Foul","null","null"
"238","Cesar Vargas",518960,"FF|FF","In play, no out","105.3","-15.1"
"240","Cesar Vargas",542340,"FF|FF","In play, out(s)","null","null"
"241","Cesar Vargas",542340,"FF|FF","Called Strike","null","null"
"242","Cesar Vargas",542340,"FF|FF","Called Strike","null","null"
"245","Cesar Vargas",502100,"FF|FF","Swinging Strike","null","null"
"249","Cesar Vargas",502100,"SL|FF","Foul","null","null"
"250","Cesar Vargas",502100,"FF|FF","Called Strike","null","null"
"251","Cesar Vargas",502100,"FF|FF","Foul","null","null"
"252","Cesar Vargas",502100,"FF|CU","In play, no out","92.1","6.52"
"254","Cesar Vargas",451594,"FF|FF","Foul","null","null"
"256","Cesar Vargas",451594,"FF|FF","Called Strike","null","null"
"258","Cesar Vargas",451594,"FF|FF","Swinging Strike","null","null"
"263","Cesar Vargas",518792,"FF|FF","Foul","null","null"
"264","Cesar Vargas",518792,"FF|FF","In play, out(s)","102.2","14.05"
"268","Cesar Vargas",592178,"FF|FT","Called Strike","null","null"
"269","Cesar Vargas",592178,"FT|FF","Foul","null","null"
"270","Cesar Vargas",592178,"FF|FF","In play, out(s)","98.8","19.64"
"273","Cesar Vargas",519203,"CU|FF","In play, out(s)","64.2","6.27"
"276","Cesar Vargas",450314,"CU|FF","In play, no out","105.5","11.8"
"280","Cesar Vargas",608365,"FF|FF","In play, run(s)","101.7","21.8"
"281","Cesar Vargas",608365,"FF|FF","Foul","null","null"
"283","Cesar Vargas",424325,"SL|FF","Called Strike","null","null"
"290","Cesar Vargas",452657,"FF|FF","In play, out(s)","94.5","-16.23"
"294","Cesar Vargas",518792,"FT|FF","In play, no out","64","8.04"
"297","Cesar Vargas",450314,"FF|SL","Called Strike","null","null"
"298","Cesar Vargas",450314,"SL|FF","In play, run(s)","88.9","1.13"
"301","Cesar Vargas",595879,"FC|FF","Called Strike","null","null"
"308","Cesar Vargas",424325,"FF|FF","In play, run(s)","100.8","21.64"
"310","Cesar Vargas",424325,"SL|FF","Called Strike","null","null"
"315","Cesar Vargas",451594,"CU|SL","Foul","null","null"
"319","Cesar Vargas",592178,"SL|FF","In play, out(s)","84","-24.77"
"320","Cesar Vargas",592178,"FF|FF","Foul","null","null"
"323","Cesar Vargas",519203,"SL|FF","In play, no out","99.9","8.92"
"324","Cesar Vargas",519203,"FF|FF","Called Strike","null","null"
"326","Cesar Vargas",519203,"FF|FF","Foul","null","null"
"329","Cesar Vargas",450314,"CU|SL","Called Strike","null","null"
"330","Cesar Vargas",450314,"SL|FF","In play, run(s)","91.5","17.22"
"334","Cesar Vargas",519203,"SL|FF","Foul","null","null"
"336","Cesar Vargas",519203,"SL|FF","In play, out(s)","99.5","5.23"
"340","Cesar Vargas",518792,"SL|SL","In play, out(s)","74","-25.52"
"343","Cesar Vargas",592178,"FF|FF","In play, run(s)","99.5","11.26"
"344","Cesar Vargas",592178,"FF|SL","Swinging Strike","null","null"
"346","Cesar Vargas",453568,"FF|FF","Foul","null","null"
"347","Cesar Vargas",453568,"FF|FF","Called Strike","null","null"
"349","Cesar Vargas",453568,"FF|FF","Called Strike","null","null"
"351","Cesar Vargas",596115,"FF|FF","Swinging Strike","null","null"
"352","Cesar Vargas",596115,"FF|SL","Swinging Strike","null","null"
"354","Cesar Vargas",596115,"FF|SL","Swinging Strike","null","null"
"356","Cesar Vargas",471865,"FC|FF","Foul","null","null"
"358","Cesar Vargas",571448,"SL|FF","Swinging Strike","null","null"
"360","Cesar Vargas",571448,"SL|FF","Foul (Runner Going)","null","null"
"361","Cesar Vargas",571448,"FF|FF","In play, out(s)","null","null"
"362","Cesar Vargas",571448,"FF|FF","Called Strike","null","null"
"365","Cesar Vargas",448602,"FF|FF","Called Strike","null","null"
"366","Cesar Vargas",448602,"FF|FF","Foul","null","null"
"367","Cesar Vargas",448602,"FF|FF","In play, no out","91.1","-29.6"
"370","Cesar Vargas",448602,"FC|FF","Foul","null","null"
"372","Cesar Vargas",430605,"FF|FF","Called Strike","null","null"
"374","Cesar Vargas",547172,"FF|FF","Called Strike","null","null"
"376","Cesar Vargas",543022,"FF|FF","Called Strike","null","null"
