"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Heath Hembree",429665,"FF|FF","Foul","null","null"
"5","Heath Hembree",430832,"CU|SL","Swinging Strike","null","null"
"6","Heath Hembree",430832,"SL|FF","Swinging Strike","null","null"
"7","Heath Hembree",430832,"FF|SL","Foul","null","null"
"8","Heath Hembree",430832,"SL|FF","Foul","null","null"
"10","Heath Hembree",430832,"SL|SL","In play, out(s)","63.1","-47.83"
"12","Heath Hembree",453064,"SL|CU","Called Strike","null","null"
"22","Heath Hembree",452104,"FF|FF","Called Strike","null","null"
"24","Heath Hembree",596142,"SL|FF","Called Strike","null","null"
"25","Heath Hembree",596142,"FF|SL","In play, out(s)","78.6","57.34"
"28","Heath Hembree",543484,"SL|FF","Called Strike","null","null"
"30","Heath Hembree",543484,"SL|FF","Foul","null","null"
"32","Heath Hembree",572816,"FF|FF","Swinging Strike","null","null"
"33","Heath Hembree",572816,"FF|FF","Called Strike","null","null"
"34","Heath Hembree",572816,"FF|FF","Foul","null","null"
"38","Heath Hembree",592200,"FF|SL","Called Strike","null","null"
"39","Heath Hembree",592200,"SL|SL","Swinging Strike","null","null"
"40","Heath Hembree",592200,"SL|FF","Swinging Strike","null","null"
"42","Heath Hembree",571912,"SL|CU","Swinging Strike","null","null"
"43","Heath Hembree",571912,"CU|FF","Swinging Strike","null","null"
"45","Heath Hembree",572128,"CU|FF","Foul","null","null"
"46","Heath Hembree",572128,"FF|FF","Foul","null","null"
"47","Heath Hembree",572128,"FF|FF","Called Strike","null","null"
"48","Heath Hembree",572128,"FF|SL","Swinging Strike","null","null"
"49","Heath Hembree",572128,"SL|CU","Swinging Strike","null","null"
"52","Heath Hembree",596142,"CU|SL","Foul","null","null"
"53","Heath Hembree",596142,"SL|FF","Foul","null","null"
"54","Heath Hembree",596142,"FF|FF","In play, out(s)","65.8","-72.11"
"58","Heath Hembree",456714,"SL|SL","Called Strike","null","null"
"59","Heath Hembree",456714,"SL|FF","Foul","null","null"
"60","Heath Hembree",456714,"FF|FF","Foul","null","null"
"61","Heath Hembree",456714,"FF|SL","In play, out(s)","68.3","-35.63"
"63","Heath Hembree",435263,"FF|SL","In play, no out","99.8","17.06"
"65","Heath Hembree",456781,"SL|SL","In play, out(s)","81.6","41.9"
"67","Heath Hembree",544369,"CU|CU","Swinging Strike","null","null"
"68","Heath Hembree",544369,"CU|FF","In play, out(s)","null","null"
"71","Heath Hembree",608701,"SL|SL","Foul","null","null"
"72","Heath Hembree",608701,"SL|FF","Swinging Strike","null","null"
"76","Heath Hembree",458731,"SL|SL","Foul","null","null"
"79","Heath Hembree",458731,"FF|FF","Foul","null","null"
"82","Heath Hembree",596142,"FF|SL","In play, out(s)","88.3","-27.03"
"83","Heath Hembree",596142,"SL|SL","Called Strike","null","null"
"86","Heath Hembree",516770,"SL|SL","Foul","null","null"
"87","Heath Hembree",516770,"SL|FF","Called Strike","null","null"
"89","Heath Hembree",516770,"FF|FF","In play, run(s)","100","-32.4"
"91","Heath Hembree",456714,"FF|SL","Swinging Strike","null","null"
"92","Heath Hembree",456714,"SL|FF","Swinging Strike","null","null"
"98","Heath Hembree",448801,"FF|SL","Swinging Strike","null","null"
"99","Heath Hembree",448801,"SL|FF","Called Strike","null","null"
"100","Heath Hembree",448801,"FF|FF","Foul","null","null"
"101","Heath Hembree",448801,"FF|SL","Foul","null","null"
"106","Heath Hembree",429666,"SL|FF","Called Strike","null","null"
"110","Heath Hembree",453211,"SL|SL","Called Strike","null","null"
"111","Heath Hembree",453211,"SL|FF","Swinging Strike","null","null"
"113","Heath Hembree",460099,"SL|FF","Foul","null","null"
"115","Heath Hembree",460099,"FF|FF","Called Strike","null","null"
"117","Heath Hembree",460099,"FF|SL","In play, no out","102.6","5.84"
"119","Heath Hembree",430945,"FF|SL","Foul","null","null"
"123","Heath Hembree",446308,"FF|FF","In play, out(s)","97.4","55.85"
"126","Heath Hembree",572365,"FF|FF","Foul","null","null"
"127","Heath Hembree",572365,"FF|FF","Foul","null","null"
"128","Heath Hembree",572365,"FF|SL","Swinging Strike","null","null"
"129","Heath Hembree",572365,"SL|FF","Foul","null","null"
"130","Heath Hembree",572365,"FF|CU","Foul","null","null"
"131","Heath Hembree",572365,"CU|FF","Foul","null","null"
"132","Heath Hembree",572365,"FF|SL","Foul","null","null"
"133","Heath Hembree",572365,"SL|FF","Foul","null","null"
"134","Heath Hembree",572365,"FF|FF","Foul","null","null"
"137","Heath Hembree",581527,"FF|FF","Swinging Strike","null","null"
"138","Heath Hembree",581527,"FF|SL","Called Strike","null","null"
"139","Heath Hembree",581527,"SL|FF","Foul","null","null"
"147","Heath Hembree",429665,"FF|SL","In play, run(s)","109.5","29.71"
"150","Heath Hembree",430832,"FF|FF","Called Strike","null","null"
"151","Heath Hembree",430832,"FF|FF","In play, out(s)","107.5","13.18"
"153","Heath Hembree",489267,"FF|SL","Foul","null","null"
"156","Heath Hembree",489267,"SL|FF","In play, out(s)","null","null"
"159","Heath Hembree",572816,"FF|CU","Called Strike","null","null"
"162","Heath Hembree",571912,"CU|FF","Swinging Strike","null","null"
"163","Heath Hembree",571912,"FF|FF","Called Strike","null","null"
"164","Heath Hembree",571912,"FF|FF","In play, no out","97.9","11.26"
"172","Heath Hembree",543543,"SL|SL","Foul","null","null"
"174","Heath Hembree",543543,"FF|CU","Foul","null","null"
"175","Heath Hembree",543543,"CU|FF","Foul","null","null"
"176","Heath Hembree",543543,"FF|SL","In play, out(s)","96.6","6.89"
"180","Heath Hembree",595281,"FF|SL","In play, run(s)","63.6","-39.89"
"183","Heath Hembree",622110,"SL|FF","In play, out(s)","96.1","23.35"
"184","Heath Hembree",622110,"FF|SL","Swinging Strike","null","null"
"186","Heath Hembree",622110,"FF|SL","Foul","null","null"
"188","Heath Hembree",435079,"FF|SL","In play, out(s)","88.7","45.11"
"189","Heath Hembree",435079,"SL|FF","Called Strike","null","null"
