"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Jeanmar Gomez",607054,"SI|SI","In play, run(s)","80.6","10.49"
"5","Jeanmar Gomez",621020,"SL|SI","Foul","null","null"
"6","Jeanmar Gomez",621020,"SI|SI","Called Strike","null","null"
"7","Jeanmar Gomez",621020,"SI|CH","Called Strike","null","null"
"8","Jeanmar Gomez",621020,"CH|SI","Foul","null","null"
"14","Jeanmar Gomez",518692,"SI|SI","Swinging Strike","null","null"
"16","Jeanmar Gomez",518692,"SL|SI","Foul","null","null"
"24","Jeanmar Gomez",489232,"SI|SI","Foul","null","null"
"27","Jeanmar Gomez",547004,"CH|SI","In play, no out","105.6","20.14"
"32","Jeanmar Gomez",452095,"CH|SI","In play, out(s)","100.5","-1.62"
"36","Jeanmar Gomez",457803,"SI|SI","Swinging Strike","null","null"
"37","Jeanmar Gomez",457803,"SI|SL","Called Strike","null","null"
"38","Jeanmar Gomez",457803,"SL|CH","Foul","null","null"
"40","Jeanmar Gomez",457803,"SI|SL","Foul","null","null"
"41","Jeanmar Gomez",457803,"SL|CH","Foul","null","null"
"43","Jeanmar Gomez",408314,"SI|SI","Foul","null","null"
"44","Jeanmar Gomez",408314,"SI|CH","In play, run(s)","103.2","23.04"
"47","Jeanmar Gomez",607043,"CH|CH","In play, no out","83","16"
"48","Jeanmar Gomez",607043,"CH|SI","Called Strike","null","null"
"51","Jeanmar Gomez",453943,"SI|SI","Foul","null","null"
"52","Jeanmar Gomez",453943,"SI|SI","Foul","null","null"
"55","Jeanmar Gomez",453943,"SI|SI","In play, no out","93.7","12.16"
"61","Jeanmar Gomez",408047,"CH|CH","Swinging Strike","null","null"
"65","Jeanmar Gomez",594809,"SI|SI","Swinging Strike","null","null"
"67","Jeanmar Gomez",573135,"CH|CH","Foul","null","null"
"68","Jeanmar Gomez",573135,"CH|SI","In play, out(s)","null","null"
"69","Jeanmar Gomez",573135,"SI|SI","Called Strike","null","null"
"73","Jeanmar Gomez",459964,"SI|SI","Swinging Strike","null","null"
"76","Jeanmar Gomez",459964,"SI|SI","In play, out(s)","102","7.79"
"79","Jeanmar Gomez",595386,"SI|SI","Called Strike","null","null"
"80","Jeanmar Gomez",595386,"SI|SI","Called Strike","null","null"
"81","Jeanmar Gomez",595386,"SI|SI","Swinging Strike","null","null"
"83","Jeanmar Gomez",465041,"SI|SI","Swinging Strike","null","null"
"89","Jeanmar Gomez",446481,"SI|SI","Foul","null","null"
"90","Jeanmar Gomez",446481,"SI|SI","Called Strike","null","null"
"92","Jeanmar Gomez",446481,"SL|FF","In play, run(s)","103.2","20.36"
