"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Joe Kelly",429665,"FF|FF","Foul","null","null"
"3","Joe Kelly",429665,"FF|SL","Called Strike","null","null"
"6","Joe Kelly",430832,"FF|SL","Called Strike","null","null"
"7","Joe Kelly",430832,"SL|FF","Foul","null","null"
"9","Joe Kelly",431145,"SL|SL","Swinging Strike","null","null"
"10","Joe Kelly",431145,"SL|SL","Foul","null","null"
"13","Joe Kelly",453064,"SL|SL","Called Strike","null","null"
"14","Joe Kelly",453064,"SL|SL","Called Strike","null","null"
"19","Joe Kelly",518626,"SL|FF","In play, out(s)","102.3","8.43"
"21","Joe Kelly",518626,"CU|SL","Foul","null","null"
"23","Joe Kelly",581527,"FF|FF","Called Strike","null","null"
"26","Joe Kelly",516770,"CU|CU","Foul","null","null"
"27","Joe Kelly",516770,"CU|FF","Called Strike","null","null"
"29","Joe Kelly",544369,"FF|FF","In play, out(s)","null","null"
"30","Joe Kelly",544369,"FF|CU","Foul","null","null"
"32","Joe Kelly",407893,"FF|CU","Called Strike","null","null"
"34","Joe Kelly",545338,"FF|FF","Foul","null","null"
"35","Joe Kelly",545338,"FF|SL","In play, out(s)","77.8","-0.62"
"38","Joe Kelly",592200,"SL|FF","Foul","null","null"
"39","Joe Kelly",592200,"FF|FF","Called Strike","null","null"
"40","Joe Kelly",592200,"FF|SL","Swinging Strike","null","null"
"43","Joe Kelly",571912,"FF|FF","Called Strike","null","null"
"44","Joe Kelly",571912,"FF|FF","Swinging Strike","null","null"
"46","Joe Kelly",572128,"SL|FF","Foul","null","null"
"47","Joe Kelly",572128,"FF|FF","In play, no out","93.3","-1.11"
"49","Joe Kelly",523253,"FF|FF","Called Strike","null","null"
"50","Joe Kelly",523253,"FF|FF","Swinging Strike","null","null"
"55","Joe Kelly",543094,"FF|FF","Foul","null","null"
"56","Joe Kelly",543094,"FF|FF","Called Strike","null","null"
"58","Joe Kelly",543094,"FF|CU","Foul","null","null"
"59","Joe Kelly",543094,"CU|FF","Swinging Strike","null","null"
"61","Joe Kelly",446334,"FF|FF","In play, no out","101.9","9.42"
"62","Joe Kelly",446334,"FF|FF","Foul","null","null"
"63","Joe Kelly",446334,"FF|FF","Foul","null","null"
"69","Joe Kelly",523253,"CU|FF","In play, out(s)","98.4","-2.68"
"71","Joe Kelly",595281,"CU|FF","In play, out(s)","105.4","-9.4"
"75","Joe Kelly",446334,"SL|SL","Foul","null","null"
"76","Joe Kelly",446334,"SL|FF","In play, out(s)","null","null"
"78","Joe Kelly",456781,"FF|FF","Called Strike","null","null"
"79","Joe Kelly",456781,"FF|CU","In play, out(s)","null","null"
"83","Joe Kelly",608701,"FF|FF","In play, out(s)","73.5","-21.78"
"88","Joe Kelly",435263,"CU|FF","Swinging Strike","null","null"
"90","Joe Kelly",435263,"FF|FF","Swinging Strike","null","null"
"94","Joe Kelly",544369,"FF|FF","Foul","null","null"
"97","Joe Kelly",452104,"FF|FF","Swinging Strike","null","null"
