"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Jon Lester",606299,"SI|FF","Called Strike","null","null"
"4","Jon Lester",606299,"FF|CU","Hit By Pitch","null","null"
"6","Jon Lester",594807,"FF|FF","Swinging Strike","null","null"
"7","Jon Lester",594807,"FF|CU","Called Strike","null","null"
"10","Jon Lester",592731,"SI|FF","Called Strike","null","null"
"11","Jon Lester",592731,"FF|SI","In play, no out","90.5","4.2"
"16","Jon Lester",553993,"SI|FF","In play, run(s)","97.1","28.29"
"18","Jon Lester",623182,"SI|FF","Foul","null","null"
"19","Jon Lester",623182,"FF|FF","Swinging Strike","null","null"
"21","Jon Lester",623182,"CU|FF","Foul","null","null"
"23","Jon Lester",541608,"FF|CU","Foul","null","null"
"24","Jon Lester",541608,"CU|FF","Foul","null","null"
"25","Jon Lester",541608,"FF|FF","Swinging Strike","null","null"
"27","Jon Lester",534947,"SI|FC","In play, no out","92.4","4.25"
"28","Jon Lester",534947,"FC|FF","Called Strike","null","null"
"32","Jon Lester",606299,"SI|FF","Called Strike","null","null"
"33","Jon Lester",606299,"FF|FF","Swinging Strike","null","null"
"34","Jon Lester",606299,"FF|FF","In play, out(s)","86.9","30.27"
"38","Jon Lester",474443,"FF|FF","Foul","null","null"
"39","Jon Lester",474443,"FF|FF","Foul","null","null"
"40","Jon Lester",474443,"FF|FF","Called Strike","null","null"
"41","Jon Lester",474443,"FF|FF","Foul","null","null"
"42","Jon Lester",474443,"FF|FC","Foul","null","null"
"45","Jon Lester",458015,"FF|SI","In play, no out","75.4","-28.24"
"46","Jon Lester",458015,"SI|FF","Foul","null","null"
"49","Jon Lester",594807,"FF|FF","Foul","null","null"
"54","Jon Lester",594807,"FF|FF","Foul","null","null"
"56","Jon Lester",553993,"FF|CU","In play, run(s)","89.4","48.92"
"57","Jon Lester",553993,"CU|CU","Called Strike","null","null"
"58","Jon Lester",553993,"CU|FF","Foul","null","null"
"61","Jon Lester",623182,"FF|FF","Called Strike","null","null"
"62","Jon Lester",623182,"FF|CH","Swinging Strike","null","null"
"63","Jon Lester",623182,"CH|CU","Swinging Strike (Blocked)","null","null"
"65","Jon Lester",534947,"FF|FF","Foul","null","null"
"66","Jon Lester",534947,"FF|SI","Called Strike","null","null"
