"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"4","Jose Berrios",641313,"CU|FT","Called Strike","null","null"
"5","Jose Berrios",641313,"FT|FF","Called Strike","null","null"
"8","Jose Berrios",547989,"FT|FT","Hit By Pitch","null","null"
"12","Jose Berrios",408047,"FT|CU","Called Strike","null","null"
"13","Jose Berrios",408047,"CU|FT","Swinging Strike","null","null"
"16","Jose Berrios",453943,"CU|FT","In play, out(s)","77.6","12.61"
"18","Jose Berrios",488671,"FT|FT","Swinging Strike","null","null"
"19","Jose Berrios",488671,"FT|FT","Swinging Strike","null","null"
"22","Jose Berrios",488671,"CU|FF","Called Strike","null","null"
"24","Jose Berrios",570560,"FT|CU","In play, out(s)","94","34.8"
"26","Jose Berrios",570560,"CH|FT","Foul","null","null"
"28","Jose Berrios",543776,"CH|FT","Foul","null","null"
"29","Jose Berrios",543776,"FT|CU","In play, out(s)","87.1","24.69"
"31","Jose Berrios",543776,"FT|FT","Called Strike","null","null"
"32","Jose Berrios",543776,"FT|FT","Foul","null","null"
"33","Jose Berrios",543776,"FT|CU","Foul","null","null"
"35","Jose Berrios",594809,"CU|FT","Called Strike","null","null"
"37","Jose Berrios",594809,"CU|FT","In play, no out","75","22.9"
"44","Jose Berrios",547989,"FT|FT","In play, run(s)","92","18.01"
"48","Jose Berrios",488671,"CH|FT","Swinging Strike","null","null"
"49","Jose Berrios",488671,"FT|CH","Foul","null","null"
"50","Jose Berrios",488671,"CH|FT","In play, out(s)","null","null"
"52","Jose Berrios",543776,"FT|FT","In play, out(s)","76.5","48.12"
"53","Jose Berrios",543776,"FT|FT","Called Strike","null","null"
"57","Jose Berrios",641313,"CH|CH","Foul","null","null"
"59","Jose Berrios",641313,"CU|FT","Called Strike","null","null"
"60","Jose Berrios",641313,"FT|FT","Called Strike","null","null"
"63","Jose Berrios",466320,"FT|FF","Foul","null","null"
"64","Jose Berrios",466320,"FF|FT","In play, no out","79.8","1.82"
"68","Jose Berrios",547989,"FT|FT","Called Strike","null","null"
"70","Jose Berrios",547989,"CU|FT","Foul","null","null"
"72","Jose Berrios",408047,"FT|FT","Foul","null","null"
"73","Jose Berrios",408047,"FT|CH","In play, out(s)","null","null"
"74","Jose Berrios",408047,"CH|FT","Foul","null","null"
