"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Lucas Harrell",424825,"SL|FF","In play, no out","74.7","21.45"
"5","Lucas Harrell",424825,"FT|FT","Called Strike","null","null"
"7","Lucas Harrell",502143,"FT|FT","In play, no out","85","22.77"
"14","Lucas Harrell",456714,"FT|FT","Foul","null","null"
"15","Lucas Harrell",456714,"FT|FT","In play, out(s)","null","null"
"17","Lucas Harrell",456714,"CU|CU","Called Strike","null","null"
"22","Lucas Harrell",543760,"FT|FT","Foul","null","null"
"23","Lucas Harrell",543760,"FT|FT","Foul","null","null"
"24","Lucas Harrell",543760,"FT|FT","In play, out(s)","106.9","16.87"
"25","Lucas Harrell",543760,"FT|FT","Called Strike","null","null"
"27","Lucas Harrell",543760,"FT|SL","Foul","null","null"
"29","Lucas Harrell",592387,"FT|CU","In play, no out","107.2","3.16"
"33","Lucas Harrell",571970,"FT|FT","Foul","null","null"
"39","Lucas Harrell",424825,"CH|FT","Called Strike","null","null"
"44","Lucas Harrell",502143,"CH|CH","Called Strike","null","null"
"47","Lucas Harrell",519390,"CH|CH","Called Strike","null","null"
"50","Lucas Harrell",518934,"CU|FT","In play, no out","100.9","5.76"
"51","Lucas Harrell",518934,"FT|FF","Called Strike","null","null"
"52","Lucas Harrell",518934,"FF|CU","Foul","null","null"
"53","Lucas Harrell",518934,"CU|FT","Foul","null","null"
"55","Lucas Harrell",571448,"FT|CU","Called Strike","null","null"
"56","Lucas Harrell",571448,"CU|CU","In play, no out","91.7","12.16"
"60","Lucas Harrell",448602,"FF|CU","Foul","null","null"
"61","Lucas Harrell",448602,"CU|CU","Foul","null","null"
"62","Lucas Harrell",448602,"CU|CU","In play, run(s)","97.5","19.08"
"68","Lucas Harrell",430605,"CU|FF","Called Strike","null","null"
"69","Lucas Harrell",430605,"FF|FF","Called Strike","null","null"
"71","Lucas Harrell",453568,"FT|FT","Foul","null","null"
"73","Lucas Harrell",518934,"FT|CU","Foul","null","null"
"76","Lucas Harrell",621311,"FT|CU","Swinging Strike (Blocked)","null","null"
"77","Lucas Harrell",621311,"CU|FT","Foul","null","null"
"79","Lucas Harrell",448602,"FT|FT","In play, no out","75.6","23.99"
"82","Lucas Harrell",467827,"CH|SL","Swinging Strike","null","null"
"84","Lucas Harrell",467827,"FT|FT","Foul","null","null"
"85","Lucas Harrell",467827,"FT|FT","In play, out(s)","101.1","8.56"
"89","Lucas Harrell",518614,"FT|FT","Called Strike","null","null"
"90","Lucas Harrell",518614,"FT|FT","In play, out(s)","95","1.08"
"95","Lucas Harrell",571448,"CH|CU","Called Strike","null","null"
"100","Lucas Harrell",621311,"CH|CH","Foul","null","null"
"101","Lucas Harrell",621311,"CH|SL","Foul","null","null"
"105","Lucas Harrell",621311,"FT|FT","In play, no out","91.6","5.22"
"107","Lucas Harrell",448602,"SL|SL","Swinging Strike","null","null"
"108","Lucas Harrell",448602,"SL|CU","Foul","null","null"
"109","Lucas Harrell",448602,"CU|SL","Swinging Strike","null","null"
"111","Lucas Harrell",448602,"FF|FT","Hit By Pitch","null","null"
"113","Lucas Harrell",467827,"CH|FF","Swinging Strike","null","null"
"114","Lucas Harrell",467827,"FF|CH","Foul","null","null"
"115","Lucas Harrell",467827,"CH|FT","Foul","null","null"
"117","Lucas Harrell",518614,"FT|CU","Swinging Strike (Blocked)","null","null"
"118","Lucas Harrell",518614,"CU|CU","Swinging Strike","null","null"
"120","Lucas Harrell",430605,"SL|CU","Swinging Strike","null","null"
"121","Lucas Harrell",430605,"CU|FT","Called Strike","null","null"
"122","Lucas Harrell",430605,"FT|FF","Foul","null","null"
"124","Lucas Harrell",547172,"FT|FT","Called Strike","null","null"
"125","Lucas Harrell",547172,"FT|CU","Foul","null","null"
"127","Lucas Harrell",453568,"FT|FF","Called Strike","null","null"
"131","Lucas Harrell",430605,"FT|FF","Called Strike","null","null"
"133","Lucas Harrell",430605,"FF|FT","Swinging Strike","null","null"
"136","Lucas Harrell",547172,"CU|SL","Foul","null","null"
"137","Lucas Harrell",547172,"SL|FT","Called Strike","null","null"
"139","Lucas Harrell",547172,"FT|CH","Foul","null","null"
"142","Lucas Harrell",518934,"FT|FT","Foul","null","null"
"143","Lucas Harrell",518934,"FT|FT","In play, out(s)","81.5","0.4"
"147","Lucas Harrell",453568,"SL|CU","Foul","null","null"
"148","Lucas Harrell",453568,"CU|CU","In play, out(s)","85.7","-37.52"
"149","Lucas Harrell",453568,"CU|FT","Called Strike","null","null"
"150","Lucas Harrell",453568,"FT|CU","Swinging Strike","null","null"
"152","Lucas Harrell",518614,"SL|CH","Called Strike","null","null"
"153","Lucas Harrell",518614,"CH|CU","In play, run(s)","85.2","3.82"
"155","Lucas Harrell",621311,"CH|CU","Called Strike","null","null"
"157","Lucas Harrell",621311,"FT|CH","In play, out(s)","87.1","29.74"
"159","Lucas Harrell",547172,"FT|FT","In play, no out","89.3","19.44"
"160","Lucas Harrell",547172,"FT|FT","Called Strike","null","null"
"163","Lucas Harrell",571448,"FT|CH","In play, run(s)","105.3","16.22"
"169","Lucas Harrell",543807,"FT|FF","Called Strike","null","null"
"171","Lucas Harrell",543807,"CU|FT","Swinging Strike","null","null"
"173","Lucas Harrell",608324,"FF|FF","Foul","null","null"
"174","Lucas Harrell",608324,"FF|FF","In play, no out","97.4","19.55"
"176","Lucas Harrell",514888,"CU|FT","Foul","null","null"
"178","Lucas Harrell",514888,"FF|CU","In play, out(s)","79.7","-37.73"
"181","Lucas Harrell",621043,"FT|CU","Called Strike","null","null"
"194","Lucas Harrell",607223,"CU|FF","Called Strike","null","null"
"196","Lucas Harrell",607223,"CU|FF","Swinging Strike","null","null"
"199","Lucas Harrell",545350,"FF|FF","Foul","null","null"
"200","Lucas Harrell",545350,"FF|FT","Foul","null","null"
"202","Lucas Harrell",545350,"CU|FT","In play, no out","77.4","19.82"
"204","Lucas Harrell",488771,"FF|FF","Swinging Strike","null","null"
"205","Lucas Harrell",488771,"FF|FF","Foul","null","null"
"206","Lucas Harrell",488771,"FF|CU","Swinging Strike","null","null"
"210","Lucas Harrell",543807,"FT|SL","Called Strike","null","null"
"211","Lucas Harrell",543807,"SL|FT","Called Strike","null","null"
"214","Lucas Harrell",608324,"SL|SL","Called Strike","null","null"
"217","Lucas Harrell",608324,"SL|SL","Called Strike","null","null"
"220","Lucas Harrell",514888,"SL|SL","Called Strike","null","null"
"221","Lucas Harrell",514888,"SL|CU","Called Strike","null","null"
"225","Lucas Harrell",621043,"FT|SL","Called Strike","null","null"
"227","Lucas Harrell",621043,"SL|FT","Foul","null","null"
"228","Lucas Harrell",621043,"FT|FT","Foul","null","null"
"229","Lucas Harrell",621043,"FT|FT","Foul","null","null"
