"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Nick Goody",444432,"SL|SL","In play, run(s)","104.5","23.38"
"3","Nick Goody",444432,"SL|SL","Called Strike","null","null"
"5","Nick Goody",570731,"FF|SL","Swinging Strike","null","null"
"6","Nick Goody",570731,"SL|FF","Swinging Strike","null","null"
"8","Nick Goody",570731,"SL|FF","Foul","null","null"
"10","Nick Goody",429666,"SL|FF","Called Strike","null","null"
"12","Nick Goody",547957,"FF|SL","Swinging Strike","null","null"
"13","Nick Goody",547957,"SL|SL","Foul","null","null"
"14","Nick Goody",547957,"SL|SL","Called Strike","null","null"
"16","Nick Goody",547957,"SL|FF","In play, out(s)","94.7","16.77"
"18","Nick Goody",430945,"SL|FF","Foul","null","null"
"19","Nick Goody",430945,"FF|FF","Swinging Strike","null","null"
"21","Nick Goody",446308,"SL|FF","In play, no out","102.4","19.11"
"22","Nick Goody",446308,"FF|FF","Foul","null","null"
"23","Nick Goody",446308,"FF|SL","Foul","null","null"
"25","Nick Goody",448801,"FF|SL","Called Strike","null","null"
"26","Nick Goody",448801,"SL|FF","In play, run(s)","105.3","34.69"
"29","Nick Goody",456030,"SL|SL","Swinging Strike (Blocked)","null","null"
"30","Nick Goody",456030,"SL|SL","In play, out(s)","78.5","58.11"
"36","Nick Goody",605141,"SL|FF","Called Strike","null","null"
"37","Nick Goody",605141,"FF|FF","Foul","null","null"
"43","Nick Goody",434670,"FF|FF","In play, out(s)","86.8","52.52"
"45","Nick Goody",434670,"SL|FF","Foul","null","null"
"50","Nick Goody",502082,"FF|FF","Called Strike","null","null"
"53","Nick Goody",501659,"SL|SL","In play, out(s)","null","null"
"57","Nick Goody",434658,"FF|FF","Foul","null","null"
"62","Nick Goody",543401,"SL|CH","In play, run(s)","91.7","12.78"
"65","Nick Goody",547379,"SL|FF","Called Strike","null","null"
"66","Nick Goody",547379,"FF|SL","In play, out(s)","null","null"
"69","Nick Goody",467793,"FF|FF","Called Strike","null","null"
"71","Nick Goody",467793,"FF|FF","Called Strike","null","null"
"75","Nick Goody",492841,"SL|FF","Foul","null","null"
"76","Nick Goody",492841,"FF|FF","Foul","null","null"
"78","Nick Goody",492841,"FF|FF","Swinging Strike","null","null"
"79","Nick Goody",492841,"FF|FF","Called Strike","null","null"
"81","Nick Goody",596019,"SL|SL","In play, out(s)","88.2","31.65"
"83","Nick Goody",596019,"FF|FF","Foul","null","null"
"85","Nick Goody",435063,"FF|SL","Foul","null","null"
"86","Nick Goody",435063,"SL|SL","Foul","null","null"
