"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Pat Venditte",475174,"SL|SI","Ball","null","null"
"3","Pat Venditte",475174,"SI|SI","Foul","null","null"
"5","Pat Venditte",622194,"SI|SL","Swinging Strike","null","null"
"6","Pat Venditte",622194,"SL|SL","Called Strike","null","null"
"7","Pat Venditte",622194,"SL|SI","Foul","null","null"
"9","Pat Venditte",518649,"SI|SL","Swinging Strike","null","null"
"10","Pat Venditte",518649,"SL|SL","Ball","null","null"
"11","Pat Venditte",518649,"SL|SL","Ball","null","null"
"12","Pat Venditte",518649,"SL|SL","Ball","null","null"
"13","Pat Venditte",518649,"SL|SI","Called Strike","null","null"
"15","Pat Venditte",621566,"SL|SL","Ball","null","null"
"16","Pat Venditte",621566,"SL|SI","In play, out(s)","101","-2.93"
"17","Pat Venditte",621566,"SI|SI","Called Strike","null","null"
"18","Pat Venditte",621566,"SI|SI","Swinging Strike","null","null"
"19","Pat Venditte",621566,"SI|SL","Foul","null","null"
"21","Pat Venditte",519295,"SI|SI","Ball","null","null"
"22","Pat Venditte",519295,"SI|SL","Called Strike","null","null"
"25","Pat Venditte",621563,"SI|SL","Foul","null","null"
"26","Pat Venditte",621563,"SL|SI","Ball","null","null"
"27","Pat Venditte",621563,"SI|SI","Ball","null","null"
"28","Pat Venditte",621563,"SI|SI","Called Strike","null","null"
"29","Pat Venditte",621563,"SI|SL","Ball","null","null"
"32","Pat Venditte",572365,"SL|SI","Ball","null","null"
"33","Pat Venditte",572365,"SI|SL","Ball","null","null"
"34","Pat Venditte",572365,"SL|SI","Called Strike","null","null"
"35","Pat Venditte",572365,"SI|SL","Ball","null","null"
"36","Pat Venditte",572365,"SL|SI","Called Strike","null","null"
"38","Pat Venditte",459431,"SI|SI","Called Strike","null","null"
"39","Pat Venditte",459431,"SI|SI","Swinging Strike","null","null"
"40","Pat Venditte",459431,"SI|SL","Ball","null","null"
"41","Pat Venditte",459431,"SL|SL","Ball","null","null"
"42","Pat Venditte",459431,"SL|SI","Called Strike","null","null"
"44","Pat Venditte",607680,"SL|SI","Foul","null","null"
"45","Pat Venditte",607680,"SI|SI","Foul","null","null"
"47","Pat Venditte",458675,"SL|SL","Foul","null","null"
"48","Pat Venditte",458675,"SL|SI","Swinging Strike","null","null"
"49","Pat Venditte",458675,"SI|SI","Called Strike","null","null"
"50","Pat Venditte",458675,"SI|SI","Ball","null","null"
"53","Pat Venditte",519048,"SL|SI","In play, out(s)","99.3","36.16"
"55","Pat Venditte",608577,"SL|SI","Called Strike","null","null"
"56","Pat Venditte",608577,"SI|SI","In play, no out","null","null"
"58","Pat Venditte",435622,"SL|SL","Ball","null","null"
"59","Pat Venditte",435622,"SL|SL","Swinging Strike","null","null"
"60","Pat Venditte",435622,"SL|SI","Hit By Pitch","null","null"
"66","Pat Venditte",596059,"SI|SL","Foul","null","null"
"67","Pat Venditte",596059,"SL|SI","Foul","null","null"
"68","Pat Venditte",596059,"SI|SL","Ball","null","null"
"69","Pat Venditte",596059,"SL|SL","In play, out(s)","null","null"
"71","Pat Venditte",518960,"SI|SL","Ball","null","null"
"72","Pat Venditte",518960,"SL|SL","Called Strike","null","null"
"73","Pat Venditte",518960,"SL|SL","Ball","null","null"
"74","Pat Venditte",518960,"SL|SI","Ball","null","null"
"76","Pat Venditte",462101,"SI|SL","Ball","null","null"
"77","Pat Venditte",462101,"SL|SI","Foul","null","null"
"78","Pat Venditte",462101,"SI|SI","Called Strike","null","null"
"79","Pat Venditte",462101,"SI|SL","In play, out(s)","81.8","19"
"81","Pat Venditte",136860,"CH|SI","Ball","null","null"
"82","Pat Venditte",136860,"SI|SL","In play, out(s)","59.7","-54.42"
"83","Pat Venditte",136860,"SL|SI","Called Strike","null","null"
"87","Pat Venditte",543068,"SL|SL","Ball","null","null"
"88","Pat Venditte",543068,"SL|SI","Called Strike","null","null"
"90","Pat Venditte",527043,"SL|SI","Foul","null","null"
"91","Pat Venditte",527043,"SI|SI","Ball","null","null"
"93","Pat Venditte",592743,"SL|SI","Foul","null","null"
"94","Pat Venditte",592743,"SI|SL","Foul","null","null"
"95","Pat Venditte",592743,"SL|SL","Called Strike","null","null"
"96","Pat Venditte",592743,"SL|SI","Foul","null","null"
"100","Pat Venditte",460060,"SL|SL","Ball","null","null"
"101","Pat Venditte",460060,"SL|SI","In play, out(s)","null","null"
"102","Pat Venditte",460060,"SI|SI","Ball","null","null"
"103","Pat Venditte",460060,"SI|SI","Called Strike","null","null"
"104","Pat Venditte",460060,"SI|SI","Foul","null","null"
"107","Pat Venditte",545361,"SL|SL","Ball","null","null"
"108","Pat Venditte",545361,"SL|SL","In play, out(s)","null","null"
"109","Pat Venditte",545361,"SL|SL","Called Strike","null","null"
"110","Pat Venditte",545361,"SL|SI","Called Strike","null","null"
"111","Pat Venditte",545361,"SI|SI","Foul","null","null"
"113","Pat Venditte",405395,"SL|SI","Ball","null","null"
"114","Pat Venditte",405395,"SI|SL","Called Strike","null","null"
"115","Pat Venditte",405395,"SL|SL","Swinging Strike","null","null"
"116","Pat Venditte",405395,"SL|SL","In play, out(s)","null","null"
"118","Pat Venditte",543068,"CH|SL","Called Strike","null","null"
"119","Pat Venditte",543068,"SL|SL","Foul","null","null"
"120","Pat Venditte",543068,"SL|SI","In play, no out","null","null"
"121","Pat Venditte",543068,"SI|SI","Ball","null","null"
"122","Pat Venditte",543068,"SI|SI","Called Strike","null","null"
"125","Pat Venditte",592743,"SI|SL","Foul","null","null"
"126","Pat Venditte",592743,"SL|SI","Ball","null","null"
"127","Pat Venditte",592743,"SI|SL","Ball","null","null"
"128","Pat Venditte",592743,"SL|SI","Foul","null","null"
"129","Pat Venditte",592743,"SI|CH","Ball","null","null"
"132","Pat Venditte",542208,"SL|SL","Ball","null","null"
"133","Pat Venditte",542208,"SL|SI","Ball","null","null"
"134","Pat Venditte",542208,"SI|SL","Ball","null","null"
"135","Pat Venditte",542208,"SL|SI","Called Strike","null","null"
"137","Pat Venditte",594777,"SL|SL","In play, out(s)","null","null"
"139","Pat Venditte",545361,"SI|SL","Foul","null","null"
"140","Pat Venditte",545361,"SL|SI","Foul","null","null"
"141","Pat Venditte",545361,"SI|SI","In play, no out","null","null"
"142","Pat Venditte",545361,"SI|SI","Called Strike","null","null"
"143","Pat Venditte",545361,"SI|SL","Ball","null","null"
"144","Pat Venditte",545361,"SL|SI","Ball","null","null"
"146","Pat Venditte",460060,"SI|SL","In play, out(s)","null","null"
"147","Pat Venditte",460060,"SL|SI","Ball","null","null"
"148","Pat Venditte",460060,"SI|SI","Ball","null","null"
"149","Pat Venditte",460060,"SI|SI","Swinging Strike","null","null"
