"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Ross Ohlendorf",546991,"FF|SL","In play, out(s)","71.4","22.49"
"3","Ross Ohlendorf",546991,"SL|FF","Called Strike","null","null"
"11","Ross Ohlendorf",519333,"SL|FF","Foul","null","null"
"13","Ross Ohlendorf",519333,"SL|FF","Foul","null","null"
"14","Ross Ohlendorf",519333,"FF|SL","Swinging Strike (Blocked)","null","null"
"16","Ross Ohlendorf",518792,"CH|FF","Called Strike","null","null"
"18","Ross Ohlendorf",518792,"FF|FF","Foul","null","null"
"19","Ross Ohlendorf",518792,"FF|FF","In play, out(s)","81.6","21.83"
"24","Ross Ohlendorf",608365,"CH|FF","Called Strike","null","null"
"26","Ross Ohlendorf",458085,"FF|SL","Swinging Strike (Blocked)","null","null"
"28","Ross Ohlendorf",458085,"FF|FF","Foul","null","null"
"30","Ross Ohlendorf",461235,"CH|FT","Foul","null","null"
"31","Ross Ohlendorf",461235,"FT|SL","Swinging Strike (Blocked)","null","null"
"34","Ross Ohlendorf",649557,"FF|FF","In play, out(s)","85.3","57.1"
"37","Ross Ohlendorf",594824,"FF|FF","Swinging Strike","null","null"
"38","Ross Ohlendorf",594824,"FF|FF","Foul","null","null"
"40","Ross Ohlendorf",594824,"SL|FF","Called Strike","null","null"
"44","Ross Ohlendorf",572761,"SL|FF","Foul","null","null"
"45","Ross Ohlendorf",572761,"FF|FF","Called Strike","null","null"
"46","Ross Ohlendorf",572761,"FF|FF","Swinging Strike","null","null"
"47","Ross Ohlendorf",572761,"FF|FT","In play, out(s)","99.5","44.73"
"55","Ross Ohlendorf",592178,"CH|FF","In play, run(s)","108.7","31.28"
"56","Ross Ohlendorf",592178,"FF|CH","Swinging Strike","null","null"
"60","Ross Ohlendorf",519203,"CH|FF","Foul","null","null"
"62","Ross Ohlendorf",519203,"FF|FF","Swinging Strike","null","null"
"63","Ross Ohlendorf",519203,"FF|FT","Called Strike","null","null"
"66","Ross Ohlendorf",450314,"FF|FF","Foul","null","null"
"67","Ross Ohlendorf",450314,"FF|FF","In play, out(s)","61.5","65.83"
"74","Ross Ohlendorf",501896,"SL|FT","In play, out(s)","88","-14.78"
"75","Ross Ohlendorf",501896,"FT|FF","Foul","null","null"
"76","Ross Ohlendorf",501896,"FF|FF","Called Strike","null","null"
