"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"6","Trevor May",571980,"CU|CU","Swinging Strike (Blocked)","null","null"
"7","Trevor May",571980,"CU|SL","Called Strike","null","null"
"8","Trevor May",571980,"SL|SL","Swinging Strike (Blocked)","null","null"
"12","Trevor May",547379,"FF|FF","In play, run(s)","97.2","23.01"
"14","Trevor May",547379,"SL|FF","Called Strike","null","null"
"15","Trevor May",547379,"FF|FF","Foul","null","null"
"17","Trevor May",492841,"FF|SL","In play, run(s)","87.6","-1.84"
"20","Trevor May",519306,"FF|FF","Foul","null","null"
"22","Trevor May",519306,"CU|FF","Foul","null","null"
"24","Trevor May",519306,"FF|FF","Foul (Runner Going)","null","null"
"29","Trevor May",542921,"SL|FF","In play, out(s)","94.4","61.13"
"31","Trevor May",435064,"FF|CH","Foul","null","null"
"33","Trevor May",435064,"FF|FF","Swinging Strike","null","null"
"35","Trevor May",523253,"FF|FF","Called Strike","null","null"
"38","Trevor May",523253,"FF|FF","Foul","null","null"
"39","Trevor May",523253,"FF|CU","Foul","null","null"
"41","Trevor May",523253,"FF|FF","In play, run(s)","99.3","35.13"
"45","Trevor May",446334,"FF|FF","Called Strike","null","null"
"48","Trevor May",595281,"CU|CH","Foul","null","null"
"49","Trevor May",595281,"CH|FF","Foul","null","null"
"50","Trevor May",595281,"FF|CU","Foul","null","null"
"53","Trevor May",595281,"CH|FF","In play, out(s)","83.9","30.76"
"55","Trevor May",467793,"CU|FF","Foul","null","null"
"56","Trevor May",467793,"FF|FF","Foul","null","null"
"58","Trevor May",467793,"CU|CH","In play, out(s)","100.2","20.4"
"62","Trevor May",608070,"FF|CU","Swinging Strike","null","null"
"63","Trevor May",608070,"CU|CU","Called Strike","null","null"
"65","Trevor May",608070,"CH|FF","Foul","null","null"
"67","Trevor May",446386,"CU|FF","Foul","null","null"
"69","Trevor May",446386,"CU|SL","Called Strike","null","null"
"70","Trevor May",446386,"SL|FF","Called Strike","null","null"
"73","Trevor May",596019,"CH|FF","Called Strike","null","null"
"75","Trevor May",596019,"CU|SL","Swinging Strike","null","null"
"76","Trevor May",596019,"SL|FF","Called Strike","null","null"
"79","Trevor May",435063,"FF|FF","Called Strike","null","null"
"80","Trevor May",435063,"FF|SL","Swinging Strike","null","null"
"81","Trevor May",435063,"SL|CU","In play, out(s)","78.3","2.99"
"84","Trevor May",502082,"FF|FF","Foul","null","null"
"85","Trevor May",502082,"FF|FF","Called Strike","null","null"
"89","Trevor May",434658,"FF|FF","Foul","null","null"
"90","Trevor May",434658,"FF|FF","Swinging Strike","null","null"
"91","Trevor May",434658,"FF|FF","Called Strike","null","null"
"94","Trevor May",571980,"FF|FF","Foul","null","null"
"95","Trevor May",571980,"FF|CU","Swinging Strike (Blocked)","null","null"
"97","Trevor May",547379,"CU|FF","Foul","null","null"
"100","Trevor May",547379,"FF|FF","Called Strike","null","null"
"102","Trevor May",547379,"CU|FF","Swinging Strike","null","null"
"104","Trevor May",570560,"SL|FF","Called Strike","null","null"
"109","Trevor May",594809,"SL|SL","In play, out(s)","79.8","22.51"
"111","Trevor May",641313,"SL|SL","Swinging Strike","null","null"
"112","Trevor May",641313,"SL|CU","Swinging Strike (Blocked)","null","null"
"113","Trevor May",641313,"CU|SL","Called Strike","null","null"
"117","Trevor May",547989,"SL|FF","Foul","null","null"
"118","Trevor May",547989,"FF|CU","In play, out(s)","null","null"
"120","Trevor May",541645,"CU|SL","In play, out(s)","93","-10.53"
"122","Trevor May",466320,"FF|SL","Foul","null","null"
"124","Trevor May",466320,"CU|FF","Foul","null","null"
"126","Trevor May",466320,"FF|SL","In play, out(s)","109.1","1.68"
"128","Trevor May",425796,"FF|CU","Foul","null","null"
"129","Trevor May",425796,"CU|SL","Called Strike","null","null"
"130","Trevor May",425796,"SL|FF","Swinging Strike","null","null"
