"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Wei-Yin Chen",607208,"FT|FT","In play, no out","105.6","12.4"
"9","Wei-Yin Chen",457787,"CH|SL","In play, no out","103.4","13.67"
"10","Wei-Yin Chen",457787,"SL|FF","Called Strike","null","null"
"14","Wei-Yin Chen",543699,"FF|FT","Foul (Runner Going)","null","null"
"15","Wei-Yin Chen",543699,"FT|FT","Foul","null","null"
"16","Wei-Yin Chen",543699,"FT|SL","Swinging Strike","null","null"
"17","Wei-Yin Chen",543699,"SL|FF","Foul","null","null"
"18","Wei-Yin Chen",543699,"FF|SL","Foul","null","null"
"22","Wei-Yin Chen",572191,"CH|FT","Foul","null","null"
"23","Wei-Yin Chen",572191,"FT|CU","Called Strike","null","null"
"25","Wei-Yin Chen",572191,"FF|SL","In play, no out","88.9","18.28"
"27","Wei-Yin Chen",547180,"FF|FF","Swinging Strike","null","null"
"28","Wei-Yin Chen",547180,"FF|FF","Swinging Strike","null","null"
"34","Wei-Yin Chen",594694,"CU|FF","Called Strike","null","null"
"35","Wei-Yin Chen",594694,"FF|FF","Called Strike","null","null"
"37","Wei-Yin Chen",600474,"CH|FT","Called Strike","null","null"
"39","Wei-Yin Chen",600474,"CU|SL","Called Strike","null","null"
"41","Wei-Yin Chen",543699,"CU|FF","Called Strike","null","null"
"43","Wei-Yin Chen",543699,"FT|FT","Foul","null","null"
"45","Wei-Yin Chen",607208,"FF|CU","Called Strike","null","null"
"49","Wei-Yin Chen",547180,"SL|SL","Called Strike","null","null"
"50","Wei-Yin Chen",547180,"SL|FF","Swinging Strike","null","null"
"51","Wei-Yin Chen",547180,"FF|FT","Swinging Strike","null","null"
"53","Wei-Yin Chen",572191,"SL|FT","In play, out(s)","102.9","-7.81"
"55","Wei-Yin Chen",607208,"CH|CH","Foul","null","null"
"57","Wei-Yin Chen",607208,"SL|SL","Foul (Runner Going)","null","null"
"60","Wei-Yin Chen",607208,"CU|CH","In play, out(s)","92.7","5.55"
"65","Wei-Yin Chen",457787,"FF|CH","In play, out(s)","null","null"
"67","Wei-Yin Chen",543685,"FT|CH","Foul","null","null"
"68","Wei-Yin Chen",543685,"CH|CH","Called Strike","null","null"
"70","Wei-Yin Chen",543685,"FF|FF","Foul","null","null"
"71","Wei-Yin Chen",543685,"FF|FF","In play, out(s)","80.6","-35.44"
"72","Wei-Yin Chen",543685,"FF|FF","Called Strike","null","null"
"74","Wei-Yin Chen",543685,"CH|FF","Foul","null","null"
"76","Wei-Yin Chen",600474,"CU|FF","Called Strike","null","null"
"77","Wei-Yin Chen",600474,"FF|FF","In play, out(s)","null","null"
"79","Wei-Yin Chen",572191,"FT|FT","In play, no out","85.4","-6.41"
"83","Wei-Yin Chen",542255,"FF|FF","Called Strike","null","null"
"84","Wei-Yin Chen",542255,"FF|SL","Called Strike","null","null"
"86","Wei-Yin Chen",611177,"FF|FF","In play, out(s)","86.9","-2.31"
"88","Wei-Yin Chen",611177,"FT|FT","Foul","null","null"
"90","Wei-Yin Chen",611177,"FF|SL","Foul","null","null"
"94","Wei-Yin Chen",518692,"SL|FF","Foul","null","null"
"95","Wei-Yin Chen",518692,"FF|FF","Foul","null","null"
